HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Venue,Result
7,3,10.3,3.3,3.4,10.3,2.3,0.0,1.2,2.0,1.2,1.3,-8.0,-1.0,1.0,1.2,30.0,30.0,1.0,40.0,60.0,1.0,16.1,5.0,4.5,9.5,0.9,0.0,1.9,0.9,1.7,1.4,10.0,3.0,2.5,1.8,80.0,60.0,5.0,90.0,60.0,5.0,77,78,80,78.33,82,85,84,83.67,6.0,4.5,1.57,London Stadium,D
3,8,14.8,4.8,5.2,12.3,1.9,0.0,1.9,1.2,1.9,0.7,7.0,12.0,1.9,2.5,60.0,80.0,1.0,70.0,90.0,1.0,11.0,2.5,4.9,11.5,2.4,0.0,0.8,2.3,1.0,2.2,-15.0,-12.0,0.6,0.8,10.0,20.0,0.0,40.0,40.0,1.0,81,82,90,84.33,77,79,79,78.33,1.33,5.75,10.0,Old Trafford,D
6,6,9.6,3.8,4.4,9.9,1.8,0.1,1.5,2.2,1.6,1.3,-7.0,3.0,1.4,1.3,40.0,30.0,2.0,60.0,70.0,2.0,10.5,2.5,4.6,10.6,1.4,0.0,0.7,2.1,1.1,2.7,-14.0,-16.0,0.2,0.4,0.0,10.0,0.0,20.0,20.0,0.0,75,76,75,75.33,75,75,73,74.33,2.05,3.5,4.0,St. James Park,D
2,2,11.8,4.2,6.0,11.0,1.1,0.1,1.2,0.9,1.3,0.9,3.0,4.0,1.5,1.6,40.0,50.0,0.0,70.0,60.0,5.0,11.1,2.6,4.0,8.0,1.5,0.0,0.6,1.4,0.8,1.3,-8.0,-5.0,0.8,0.8,20.0,20.0,1.0,40.0,40.0,2.0,75,75,72,74.0,77,76,76,76.33,2.1,3.4,4.0,Selhurst Park,D
5,7,10.7,2.9,4.2,11.4,1.4,0.1,0.5,1.8,0.2,1.2,-13.0,-10.0,0.6,0.7,10.0,20.0,1.0,40.0,30.0,1.0,12.3,4.2,4.8,10.0,2.5,0.1,1.3,1.3,1.1,2.3,0.0,-12.0,1.1,0.8,30.0,20.0,1.0,50.0,40.0,2.0,75,74,74,74.33,77,77,80,78.0,3.4,3.25,2.35,Kirklees Stadium,D
4,7,14.5,5.7,5.4,10.6,1.1,0.1,2.6,0.3,2.2,0.9,23.0,13.0,2.5,1.9,80.0,60.0,4.0,90.0,70.0,4.0,11.8,3.8,5.1,9.4,2.2,0.0,1.0,1.6,1.4,1.8,-6.0,-4.0,0.7,0.8,10.0,20.0,1.0,50.0,40.0,2.0,82,86,84,84.0,76,76,76,76.0,1.25,6.0,12.0,Stamford Bridge,D
4,4,13.1,4.6,5.6,11.4,2.0,0.1,2.0,1.2,2.4,0.5,8.0,19.0,2.0,2.5,60.0,80.0,0.0,80.0,90.0,4.0,10.9,3.5,6.1,11.4,1.3,0.0,1.1,2.0,0.9,1.6,-9.0,-7.0,0.6,0.9,10.0,20.0,0.0,40.0,50.0,0.0,81,83,87,83.67,79,78,78,78.33,1.36,5.5,9.0,Old Trafford,D
10,10,9.2,5.2,5.0,9.6,2.2,0.1,1.4,1.3,1.5,1.1,1.0,4.0,1.2,1.4,30.0,30.0,2.0,60.0,80.0,2.0,13.4,7.5,7.0,10.7,2.0,0.1,1.1,0.5,0.8,1.1,6.0,-3.0,1.8,1.0,50.0,20.0,0.0,80.0,60.0,0.0,73,72,72,72.33,77,75,76,76.0,3.2,3.4,2.4,Carrow Road,D
6,5,11.4,2.8,4.0,12.9,1.9,0.0,0.9,2.0,1.0,1.4,-11.0,-4.0,0.1,0.8,0.0,20.0,0.0,10.0,40.0,0.0,18.7,7.3,7.3,10.5,2.2,0.0,2.3,0.9,1.5,1.3,14.0,2.0,2.2,1.6,70.0,50.0,1.0,80.0,60.0,4.0,76,74,74,74.67,81,83,84,82.67,7.5,5.0,1.44,Villa Park,D
10,10,12.0,4.0,5.5,11.0,1.5,0.2,0.7,2.0,1.1,1.6,-13.0,-5.0,0.9,1.4,30.0,40.0,0.0,30.0,60.0,0.0,16.6,6.2,5.0,10.4,1.1,0.0,1.8,0.7,1.4,1.0,11.0,4.0,2.1,1.8,60.0,50.0,2.0,90.0,80.0,4.0,76,78,78,77.33,81,81,82,81.33,6.0,4.2,1.62,Vicarage Road,D
