Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
M Oliver,Sun,1.0,1,-5.399999999999999,-1.4000000000000004,-3.2,4.799999999999999,-0.8,0.0,-0.1999999999999999,0.0,-1.0,-0.2,0.0,-1.0,-0.6000000000000001,-20.0,0.0,-20.0,-6.0,-10,-11,-9,-10.0,13,0,5.5600000000000005,4.33,Hull City Stadium,L
A Madley,Wed,0.0,0,0.5999999999999996,-1.1999999999999995,2.0,-1.1999999999999993,-0.4000000000000001,0.0,-0.6000000000000001,0.1999999999999999,-4.0,-0.6,0.4,-5.0,-0.8,-40.0,0.0,0.0,0.0,-2,-5,-6,-4.340000000000003,5,0,2.0,3.25,Turf Moor,D
L Probert,Sat,0.0,1,-5.799999999999999,0.0,-2.6000000000000005,-1.5999999999999996,0.2000000000000001,-0.2,-0.1999999999999999,0.1999999999999999,-2.0,-0.3999999999999999,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,-2,-1,-1.0,-4,0,0.0499999999999998,3.3,Turf Moor,L
M Oliver,Sun,0.0,1,4.999999999999998,1.5999999999999996,0.7999999999999998,-0.6000000000000014,0.6000000000000001,0.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.3999999999999999,20.0,6.0,0.0,5.0,1,3,2,2.0,-3,0,-1.6,3.4,Old Trafford,D
C Pawson,Sat,0.0,0,-0.5999999999999996,2.2,-3.0,-3.4000000000000004,-0.6000000000000001,0.0,2.6,-0.3999999999999999,15.0,1.0,0.0,5.0,1.6,60.0,3.0,40.0,2.0,3,5,6,4.670000000000002,-9,0,-4.97,4.0,Tottenham Hotspur Stadium,L
D Coote,Thu,1.0,0,1.5999999999999996,-0.6000000000000005,0.5999999999999996,0.5999999999999996,-0.8,0.0,-0.5999999999999999,-1.0,2.0,-0.6,-0.6,0.0,0.6000000000000001,0.0,-1.0,60.0,4.0,-8,-7,-15,-10.0,17,1,2.1,3.6,Craven Cottage,L
A Marriner,Wed,0.0,1,1.4000000000000004,-0.7999999999999998,-0.2000000000000001,-0.3999999999999986,0.3999999999999999,0.0,-0.4000000000000001,-0.8,2.0,-0.6000000000000001,0.0,-3.0,1.0,40.0,1.0,20.0,-1.0,-5,-3,-7,-5.0,1,0,-0.92,3.3,Selhurst Park,D
S Attwell,Tue,0.0,0,0.200000000000001,0.2000000000000001,0.2000000000000001,-0.7999999999999989,-0.6000000000000001,0.0,-0.7999999999999999,1.4,-11.0,-0.2,1.2,-7.0,-1.0,-40.0,0.0,-20.0,0.0,-2,-4,-3,-3.0,-2,0,0.04,3.29,Dean Court,D
M Clattenburg,Sat,0.0,0,-1.1999999999999993,0.0,0.0,0.1999999999999993,-0.4000000000000001,0.2,0.0,-0.3999999999999999,2.0,0.4,-0.4,4.0,0.8,20.0,0.0,40.0,1.0,-3,-3,-6,-4.0,7,1,-0.75,3.3,Hull City Stadium,D
L Mason,Sun,0.0,5,-8.6,-7.4,-3.2,0.5999999999999996,0.3999999999999999,0.0,-0.5999999999999999,1.6,-11.0,0.0,1.2000000000000002,-6.0,-1.6,-60.0,0.0,-40.0,0.0,-7,-10,-8,-8.329999999999998,18,1,2.37,3.75,St Mary's Stadium,L
N Swarbrick,Tue,0.0,0,0.4000000000000003,0.6000000000000014,-1.5999999999999996,0.4000000000000003,-0.6000000000000001,0.0,0.3999999999999999,0.4,0.0,-0.6,0.2,-4.0,-0.2000000000000001,0.0,3.0,-20.0,-1.0,3,5,5,4.329999999999998,-4,0,-3.25,3.9,Emirates Stadium,D
M Clattenburg,Sat,0.0,1,-3.1999999999999997,-2.0,1.8000000000000007,1.0,1.0,-0.2,0.0,-1.4,7.0,-0.1999999999999999,-0.6000000000000001,2.0,0.8,20.0,0.0,40.0,5.0,0,5,4,3.0,-8,0,-7.56,4.5,Old Trafford,D
R Madley,Sat,0.0,2,-12.6,-2.3999999999999995,-5.6,4.4,1.6,0.0,0.6000000000000001,-0.1999999999999999,4.0,-0.1999999999999999,0.0,-1.0,0.2000000000000001,0.0,0.0,20.0,3.0,-7,-4,-14,-8.340000000000003,6,0,4.34,3.89,Goodison Park,D
A Marriner,Wed,0.0,0,0.8000000000000007,1.5999999999999996,2.8,-1.5999999999999996,-1.6,0.0,1.6,0.3999999999999999,6.0,0.6000000000000001,0.2,2.0,1.0,40.0,4.0,20.0,4.0,10,8,4,7.340000000000003,-17,-1,-8.6,4.75,Goodison Park,L
M Oliver,Sat,0.0,-2,4.999999999999998,1.6,3.0,-3.1999999999999997,0.0,0.0,-0.1999999999999997,-0.1999999999999999,0.0,0.4,0.2,1.0,0.6000000000000001,20.0,2.0,20.0,13.0,7,4,3,4.670000000000002,-4,0,-5.6,5.0,Anfield,D
H Webb,Sat,0.0,1,3.6,3.1999999999999997,2.6000000000000005,-4.0,0.1999999999999999,0.0,0.6000000000000001,0.0,3.0,0.0,-0.3999999999999999,2.0,0.4000000000000001,20.0,1.0,0.0,-2.0,0,1,1,0.6700000000000017,-1,0,-2.7,3.6,Swansea.com Stadium,L
L Probert,Sat,0.0,0,-2.8000000000000007,-0.2000000000000001,1.7999999999999998,-1.5999999999999996,-0.5999999999999999,0.0,1.2,-0.1999999999999999,7.0,1.2,-0.4,8.0,1.0,40.0,2.0,20.0,2.0,-1,-2,1,-0.6700000000000017,-5,0,-1.71,3.7,Dean Court,D
A Taylor,Mon,0.0,-3,-1.8000000000000007,-2.0,-1.3999999999999997,-1.5999999999999996,-0.6,0.0,-0.6000000000000001,1.4,-10.0,-0.1999999999999999,0.7999999999999999,-5.0,-1.6,-40.0,-1.0,-80.0,-1.0,-10,-10,-8,-9.329999999999998,18,1,3.88,4.0,Madejski Stadium,L
K Friend,Sat,0.0,2,-2.4000000000000004,-2.8000000000000007,-1.0,0.4000000000000003,2.0,0.0,-1.2000000000000002,0.0,-6.0,-0.6000000000000001,-0.6000000000000001,0.0,-0.5999999999999999,-20.0,-1.0,-20.0,-1.0,1,0,-4,-1.0,-4,0,-0.4500000000000002,3.3,Carrow Road,L
M Atkinson,Sat,0.0,1,0.4000000000000003,0.4000000000000003,3.0,-1.0,-0.6000000000000001,0.0,-1.0,-0.6000000000000001,-2.0,-0.6000000000000001,-0.3999999999999999,-1.0,0.0,0.0,-1.0,0.0,-3.0,-5,-10,-9,-8.0,11,0,1.75,3.6,DW Stadium,D
D Coote,Sat,0.0,2,1.4000000000000004,1.8000000000000005,-3.6,2.200000000000001,-0.4000000000000001,0.0,0.4,0.7999999999999999,-2.0,0.0,0.4,-2.0,-0.3999999999999999,-20.0,-1.0,0.0,-2.0,3,6,10,6.329999999999998,-12,-1,-1.4,3.5,London Stadium,D
G Scott,Sat,0.0,-3,-0.4000000000000003,-0.5999999999999996,3.4000000000000004,1.1999999999999993,-0.5999999999999999,0.0,-0.2000000000000001,0.0,-1.0,0.4,0.0,2.0,0.5999999999999999,20.0,0.0,20.0,1.0,-3,1,-3,-1.6700000000000017,5,0,-2.2,3.9,St Mary's Stadium,D
M Oliver,Sat,0.0,-1,-9.2,-2.0000000000000004,-0.8000000000000007,0.4000000000000003,0.1999999999999999,0.0,0.0,0.0,0.0,0.0,0.4,-2.0,0.0,0.0,-1.0,0.0,-1.0,-2,-2,0,-1.3400000000000034,-2,0,0.6499999999999999,3.4,Turf Moor,L
C Pawson,Sun,0.0,0,1.5999999999999996,-0.3999999999999999,0.7999999999999998,0.4000000000000003,0.6000000000000001,0.0,0.0,0.6000000000000001,-3.0,-0.1999999999999999,0.6000000000000001,-4.0,-0.4000000000000001,-20.0,-1.0,0.0,2.0,-7,-7,-6,-6.670000000000002,6,0,3.09,4.0,Selhurst Park,L
C Pawson,Sat,0.0,0,-7.000000000000002,-3.0000000000000004,-2.6,1.0,0.3999999999999999,0.2,-1.4,0.0,-7.0,0.0,-0.2,1.0,-1.4,-40.0,-1.0,-60.0,-2.0,-6,-7,-5,-6.0,17,1,2.95,3.9,Loftus Road,L
G Scott,Sat,0.0,0,5.6,1.7999999999999998,-1.4,-0.1999999999999993,0.8,0.0,-0.3999999999999999,0.7999999999999998,-6.0,-0.6000000000000001,0.6,-6.0,-1.2,-40.0,0.0,-40.0,0.0,-1,-2,-2,-1.6599999999999966,9,1,0.0499999999999998,3.1,Craven Cottage,L
M Dean,Sat,0.0,2,-3.3999999999999986,-3.2,-1.7999999999999998,-0.8000000000000007,-0.1999999999999999,0.0,-0.5999999999999999,-0.5999999999999999,0.0,-0.5999999999999999,-0.6,0.0,0.0,0.0,1.0,0.0,1.0,1,-1,2,0.6700000000000017,14,0,-3.02,3.6,Selhurst Park,D
L Mason,Sun,0.0,-2,1.799999999999999,0.6000000000000001,0.0,-0.6000000000000014,-1.6,0.0,-0.3999999999999999,-0.4000000000000001,0.0,0.0,-0.2,1.0,0.4000000000000001,20.0,2.0,0.0,2.0,2,5,2,3.0,-6,0,-3.5,3.5,Molineux Stadium,D
M Dean,Sat,1.0,3,4.0,0.4000000000000003,3.6000000000000005,-2.799999999999999,-1.6,0.4,1.0,-2.0,15.0,0.8,-0.8,8.0,1.6,60.0,2.0,40.0,1.0,7,7,7,7.0,-14,0,-11.82,7.0,Stamford Bridge,L
