Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
A Madley,Sat,-2.0,0,1.3000000000000007,1.1000000000000003,2.4,2.6999999999999997,0.5,-0.1,0.9,1.1,-1.0,-1.4,19.0,25.0,0.6,-0.3,0.5,-0.8999999999999999,9.0,14.0,1.4,1.5,40.0,40.0,5.0,60.0,70.0,6.0,9,10,7,8.659999999999997,-19,-1,-8.67,5.0,Stamford Bridge,L
A Marriner,Sat,-1.0,0,-3.6,-1.2000000000000002,-0.7999999999999998,-4.100000000000001,-1.7000000000000002,0.0,-0.5000000000000001,-0.1999999999999999,-1.1,-0.5,6.0,3.0,0.0,-0.7000000000000001,0.0,-0.3999999999999999,7.0,4.0,0.0,-0.5,0.0,-10.0,0.0,0.0,-30.0,-3.0,-2,-2,-3,-2.3299999999999983,13,1,0.1500000000000003,3.4,Vicarage Road,L
J Moss,Sat,-2.0,0,2.9000000000000004,0.1000000000000005,0.1000000000000005,2.4000000000000004,-0.3999999999999999,0.0,0.0,-0.1,-0.2999999999999998,-1.1,3.0,10.0,0.2,-0.1999999999999999,-0.2,-0.7,4.0,5.0,0.0,0.9000000000000001,10.0,30.0,-2.0,-20.0,30.0,-3.0,6,2,3,3.6700000000000017,-10,0,-4.35,4.0,St Mary's Stadium,D
M Dean,Sat,0.0,1,-5.800000000000001,-2.5,-4.000000000000001,3.4000000000000004,1.0,0.1,-1.1,-0.4000000000000001,-0.3,-0.8,-8.0,4.0,-0.3,0.1,0.1999999999999999,-0.3,-4.0,5.0,-0.6,0.3,-20.0,10.0,0.0,-20.0,10.0,-5.0,-4,-3,-5,-4.0,1,0,2.05,3.75,Bet365 Stadium,L
G Scott,Sat,0.0,0,-7.199999999999999,-4.2,-1.7000000000000002,-0.200000000000001,-0.7,-0.2,-2.3,-1.0000000000000002,0.5,0.4,-28.0,-14.0,-0.7999999999999999,0.0,-0.7000000000000001,0.0,-8.0,-7.0,-1.4999999999999998,-0.5999999999999999,-60.0,-20.0,-9.0,-30.0,-20.0,-14.0,-6,-7,-6,-6.329999999999998,9,0,8.17,5.75,King Power Stadium,L
M Clattenburg,Sun,0.0,3,2.0,0.0,1.5,-0.4000000000000003,-0.3999999999999999,0.0,-0.3,0.5,0.4000000000000001,-0.6,-7.0,11.0,-0.3,0.2999999999999999,0.2999999999999999,0.0,-6.0,3.0,-0.6000000000000001,0.8999999999999999,-20.0,40.0,-2.0,-20.0,10.0,-2.0,-8,-5,-9,-7.329999999999998,6,0,2.25,3.6,Boleyn Ground,D
M Halsey,Sat,-1.0,3,-3.6,-2.1,-1.7000000000000002,-1.4000000000000004,-0.4000000000000001,0.0,-0.5,0.4000000000000001,0.2000000000000001,-0.1,-7.0,5.0,-0.6,-0.4,0.0,-0.1999999999999999,-2.0,2.0,-0.3999999999999999,0.3999999999999999,-10.0,20.0,0.0,-20.0,0.0,-4.0,1,3,0,1.3299999999999983,-11,-1,-0.7200000000000002,3.5,Swansea.com Stadium,D
R East,Wed,0.0,1,-1.5,0.9000000000000004,-1.6,1.6000000000000014,0.2999999999999998,0.0,0.3999999999999999,0.0,0.0999999999999998,-0.3999999999999999,3.0,4.0,-0.0999999999999999,0.1999999999999999,-0.3,0.2,-3.0,-5.0,0.2999999999999998,0.3999999999999999,10.0,10.0,1.0,10.0,20.0,2.0,0,1,-2,-0.3299999999999983,10,1,-2.33,3.4,Molineux Stadium,L
M Dean,Sat,0.0,0,-8.5,-4.300000000000001,-1.2999999999999998,2.1,-0.0999999999999998,0.0,-0.8999999999999999,0.2999999999999998,0.5,0.2000000000000001,-14.0,1.0,-0.9000000000000001,0.4,-0.2999999999999999,0.3,-13.0,-6.0,-0.6000000000000001,0.5,-10.0,30.0,-1.0,-40.0,-10.0,-1.0,-4,-4,-6,-4.670000000000002,9,0,2.53,3.75,Turf Moor,L
M Dean,Sat,1.0,1,2.3000000000000007,0.9999999999999992,0.2999999999999998,1.5,0.1,0.0,0.5,1.0,-0.3999999999999999,-0.8999999999999999,9.0,19.0,0.5,0.4,0.8,0.0999999999999999,1.0,7.0,0.3999999999999999,1.3,10.0,40.0,3.0,20.0,50.0,2.0,1,-3,-2,-1.3299999999999983,-1,0,-2.29,3.75,St Mary's Stadium,D
A Taylor,Thu,0.0,-1,2.4000000000000004,1.6000000000000003,0.1999999999999993,1.0,0.1,0.1,0.0999999999999998,0.2,0.1,-0.4000000000000001,0.0,6.0,0.1,0.0999999999999999,0.3,-0.2999999999999999,0.0,6.0,1.0,1.0,40.0,40.0,1.0,20.0,20.0,0.0,8,4,8,6.670000000000002,-3,0,-5.47,4.33,White Hart Lane,D
L Mason,Tue,0.0,2,2.4000000000000004,1.7000000000000002,-0.1000000000000005,-0.0999999999999996,0.3999999999999999,0.0,1.2,1.8000000000000005,-0.8,0.3,20.0,15.0,0.0999999999999999,0.0,0.8,0.3999999999999999,1.0,4.0,1.6,0.7999999999999998,50.0,40.0,0.0,60.0,0.0,0.0,8,7,9,8.0,-20,-1,-7.72,6.0,Old Trafford,D
P Dowd,Wed,0.0,-1,-3.400000000000002,-2.5,0.2000000000000001,-4.300000000000001,-0.2999999999999999,0.0,-1.9,-1.0000000000000002,1.7,0.2000000000000001,-36.0,-12.0,-1.6,-0.1,-0.9,-0.0999999999999999,-15.0,-8.0,-1.3,-0.2999999999999999,-40.0,0.0,-1.0,-50.0,-30.0,-5.0,-4,-5,2,-2.3299999999999983,5,0,6.6,5.25,Craven Cottage,L
A Taylor,Tue,0.0,0,-0.4000000000000003,1.0,-1.0,-2.8000000000000007,-0.6000000000000001,0.0,0.7999999999999999,0.4,-0.0999999999999998,-0.4,9.0,8.0,0.2,0.0999999999999999,0.3999999999999999,-0.1999999999999999,1.0,6.0,0.8,0.1999999999999999,30.0,10.0,0.0,20.0,0.0,0.0,-1,-2,1,-0.6599999999999966,6,0,-0.6000000000000001,3.3,Stadium of Light,D
R East,Thu,0.0,0,-0.1000000000000014,-0.2000000000000001,-0.2000000000000001,0.0999999999999996,0.0,0.0,0.5,0.2999999999999998,-0.3999999999999999,-1.0,9.0,13.0,-0.0999999999999999,-0.2999999999999999,0.0999999999999999,-0.6,2.0,7.0,0.5,0.9000000000000001,20.0,30.0,0.0,10.0,30.0,0.0,0,3,5,2.6599999999999966,4,0,-0.9500000000000002,3.29,King Power Stadium,D
M Dean,Fri,-2.0,0,1.799999999999999,0.8999999999999999,-0.6000000000000005,4.0,-0.1999999999999999,0.0,0.6000000000000001,0.8,0.1,-0.2999999999999998,5.0,11.0,0.3,0.0,0.3999999999999999,-0.2,3.0,6.0,-0.4,0.1999999999999999,-10.0,10.0,-1.0,-20.0,0.0,0.0,0,2,-1,0.3299999999999983,1,0,-1.75,3.5,Vicarage Road,L
M Atkinson,Sat,0.0,1,-3.1999999999999997,-0.5,-2.7,1.5,0.4000000000000001,0.1,0.5,-0.1999999999999999,-0.1999999999999999,-0.1999999999999999,7.0,0.0,0.2,-0.2999999999999999,0.0,-0.3999999999999999,5.0,4.0,0.3999999999999999,-0.1,20.0,0.0,0.0,0.0,-10.0,-2.0,-8,-9,-9,-8.659999999999997,20,1,3.25,4.0,Vicarage Road,L
G Scott,Mon,0.0,-3,1.4000000000000004,1.6000000000000003,-0.2000000000000001,-0.9000000000000004,1.0,0.0,0.9,0.7,0.0999999999999998,0.1999999999999999,8.0,5.0,0.1999999999999999,0.1999999999999999,-0.3999999999999999,0.2999999999999999,0.0,-7.0,0.7999999999999998,0.5,30.0,30.0,3.0,20.0,-10.0,3.0,0,2,0,0.6700000000000017,11,1,-4.05,3.75,Molineux Stadium,D
K Friend,Sat,0.0,0,-1.3000000000000007,0.3000000000000002,-1.0999999999999996,1.4000000000000004,-0.5,0.0,0.1999999999999999,0.7,0.7000000000000002,-0.1,-5.0,8.0,-0.3,0.0999999999999999,-0.0999999999999999,0.0,-4.0,-1.0,-0.1999999999999999,0.4,-10.0,10.0,0.0,0.0,20.0,0.0,2,3,4,3.0,-4,0,0.2999999999999998,3.4,Swansea.com Stadium,L
