Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
J Moss,Sat,0.0,0,0.7999999999999989,0.5999999999999996,-2.4000000000000004,1.200000000000001,0.8000000000000003,0.0,2.2,1.0,6.0,1.6,0.7999999999999999,4.0,1.2000000000000002,40.0,-1.0,40.0,4.0,12,7,12,10.340000000000003,-8,0,-8.7,5.5,Old Trafford,W
K Friend,Sat,0.0,0,-9.399999999999999,-5.8,-4.4,1.1999999999999993,1.0,0.0,-0.19999999999999996,0.6000000000000001,-4.0,0.0,0.20000000000000007,-1.0,-0.5999999999999999,-20.0,0.0,-20.0,0.0,-1,-5,-1,-2.3299999999999983,11,1,0.5,3.4,Madejski Stadium,W
M Oliver,Wed,0.0,-1,-3.1999999999999993,-0.7999999999999998,0.0,0.5999999999999996,0.5999999999999999,0.0,-0.3999999999999999,-1.2,4.0,0.0,-0.4,2.0,0.8,20.0,0.0,40.0,2.0,6,0,2,2.6700000000000017,-3,0,-4.9,4.1,Goodison Park,W
J Moss,Mon,0.0,0,4.599999999999998,3.1999999999999993,2.0,-1.1999999999999993,0.6000000000000001,-0.2,1.4000000000000001,-0.8,11.0,1.0,-0.6,8.0,1.4000000000000001,40.0,0.0,60.0,3.0,8,5,5,6.0,-2,0,-7.6,5.0,Anfield,L
K Friend,Sat,0.0,-1,2.1999999999999993,2.2,1.3999999999999995,-0.7999999999999989,-0.5999999999999999,-0.2,0.6000000000000001,0.6000000000000001,0.0,0.6000000000000001,-0.6000000000000001,6.0,0.0,0.0,-2.0,0.0,-2.0,10,6,7,7.670000000000002,-4,0,-7.6,5.0,Stamford Bridge,W
M Dean,Sat,0.0,-1,-0.40000000000000036,-0.5999999999999996,0.39999999999999947,-0.5999999999999996,0.0,-0.2,-0.6,0.3999999999999999,-5.0,-0.4,0.0,-2.0,-1.2000000000000002,-40.0,-1.0,-40.0,-1.0,4,1,1,2.0,4,0,-0.6000000000000001,3.3,Bet365 Stadium,D
A Marriner,Sat,-1.0,0,2.8000000000000007,2.5999999999999996,1.3999999999999995,-0.1999999999999993,0.0,0.0,-0.19999999999999996,0.7999999999999999,-5.0,0.0,0.0,0.0,-0.8,-20.0,0.0,-40.0,-2.0,0,-2,1,-0.3299999999999983,13,1,-1.1,3.4,Boleyn Ground,W
R Madley,Sat,1.0,0,0.7999999999999989,1.7999999999999998,-0.1999999999999993,1.1999999999999993,-0.3999999999999999,-0.2,0.6000000000000001,-0.7999999999999999,7.0,0.8,-0.6,7.0,1.2000000000000002,40.0,0.0,40.0,5.0,1,-5,-1,-1.6599999999999966,12,1,-2.7499999999999996,3.75,St Mary's Stadium,L
P Dowd,Tue,0.0,0,-2.200000000000001,-1.2000000000000002,-2.0,2.0,0.40000000000000013,-0.4,-0.40000000000000013,-0.8,2.0,0.0,-1.0,5.0,1.2,40.0,0.0,40.0,2.0,10,8,11,9.670000000000002,-9,0,-7.6,5.0,Etihad Stadium,W
H Webb,Sun,0.0,3,-4.4,-2.5999999999999996,-4.0,0.8000000000000007,0.8,-0.2,-0.19999999999999996,0.40000000000000013,-3.0,-0.2,-0.6000000000000001,2.0,0.0,0.0,0.0,0.0,0.0,2,-3,-2,-1.0,2,0,-1.4,3.4,Carrow Road,W
M Oliver,Sat,0.0,-1,3.5999999999999996,2.4,2.4,-1.1999999999999993,0.0,0.0,0.5999999999999999,0.3999999999999999,1.0,0.39999999999999997,0.19999999999999996,1.0,0.3999999999999999,20.0,-1.0,0.0,-2.0,11,7,12,10.0,-7,0,-10.7,5.75,Old Trafford,L
H Webb,Sat,0.0,0,0.0,-0.3999999999999999,-0.20000000000000018,3.200000000000001,0.0,0.0,-0.9999999999999999,0.0,-5.0,-0.2,0.19999999999999996,-2.0,-0.8,-20.0,0.0,-40.0,-4.0,4,0,0,1.3299999999999983,5,0,-1.2000000000000002,3.3,Bet365 Stadium,D
