Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team
2015-04-12,Premier League,Sun,Away,W,1,0,QPR,60.0,chelsea
2015-04-18,Premier League,Sat,Home,W,1,0,Manchester Utd,30.0,chelsea
2015-04-26,Premier League,Sun,Away,D,0,0,Arsenal,43.0,chelsea
2015-04-29,Premier League,Wed,Away,W,3,1,Leicester City,63.0,chelsea
2015-05-03,Premier League,Sun,Home,W,1,0,Crystal Palace,62.0,chelsea
2015-05-10,Premier League,Sun,Home,D,1,1,Liverpool,48.0,chelsea
2015-05-18,Premier League,Mon,Away,L,0,3,West Brom,60.0,chelsea
2015-05-24,Premier League,Sun,Home,W,3,1,Sunderland,65.0,chelsea
2014-08-17,Premier League,Sun,Away,W,2,0,Newcastle Utd,56.0,city
2014-08-25,Premier League,Mon,Home,W,3,1,Liverpool,53.0,city
2014-08-30,Premier League,Sat,Home,L,0,1,Stoke City,72.0,city
2014-09-13,Premier League,Sat,Away,D,2,2,Arsenal,55.0,city
2014-09-17,Champions Lg,Wed,Away,L,0,1,de Bayern Munich,42.0,city
2014-09-21,Premier League,Sun,Home,D,1,1,Chelsea,59.0,city
2014-09-24,League Cup,Wed,Home,W,7,0,Sheffield Weds,,city
2014-09-27,Premier League,Sat,Away,W,4,2,Hull City,60.0,city
2014-09-30,Champions Lg,Tue,Home,D,1,1,it Roma,65.0,city
2014-10-04,Premier League,Sat,Away,W,2,0,Aston Villa,68.0,city
2014-10-18,Premier League,Sat,Home,W,4,1,Tottenham,62.0,city
2014-10-21,Champions Lg,Tue,Away,D,2,2,ru CSKA Moscow,55.0,city
2014-10-25,Premier League,Sat,Away,L,1,2,West Ham,70.0,city
2014-10-29,League Cup,Wed,Home,L,0,2,Newcastle Utd,,city
2014-11-02,Premier League,Sun,Home,W,1,0,Manchester Utd,52.0,city
2014-11-05,Champions Lg,Wed,Home,L,1,2,ru CSKA Moscow,62.0,city
2014-11-08,Premier League,Sat,Away,D,2,2,QPR,59.0,city
2014-11-22,Premier League,Sat,Home,W,2,1,Swansea City,59.0,city
2014-11-25,Champions Lg,Tue,Home,W,3,2,de Bayern Munich,49.0,city
2014-11-30,Premier League,Sun,Away,W,3,0,Southampton,48.0,city
2014-12-03,Premier League,Wed,Away,W,4,1,Sunderland,65.0,city
2014-12-06,Premier League,Sat,Home,W,1,0,Everton,51.0,city
2014-12-10,Champions Lg,Wed,Away,W,2,0,it Roma,46.0,city
