Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team,Match Number
2013-11-09,Premier League,Sat,Home,W,4,0,Fulham,,liverpool,11.0
2013-11-23,Premier League,Sat,Away,D,3,3,Everton,,liverpool,12.0
2013-12-01,Premier League,Sun,Away,L,1,3,Hull City,,liverpool,13.0
2013-12-04,Premier League,Wed,Home,W,5,1,Norwich City,,liverpool,14.0
2013-12-07,Premier League,Sat,Home,W,4,1,West Ham,,liverpool,15.0
2013-12-15,Premier League,Sun,Away,W,5,0,Tottenham,,liverpool,16.0
2013-12-21,Premier League,Sat,Home,W,3,1,Cardiff City,,liverpool,17.0
2013-12-26,Premier League,Thu,Away,L,1,2,Manchester City,,liverpool,18.0
2013-12-29,Premier League,Sun,Away,L,1,2,Chelsea,,liverpool,19.0
2014-01-01,Premier League,Wed,Home,W,2,0,Hull City,,liverpool,20.0
2014-01-12,Premier League,Sun,Away,W,5,3,Stoke City,,liverpool,21.0
2014-01-18,Premier League,Sat,Home,D,2,2,Aston Villa,,liverpool,22.0
2014-01-28,Premier League,Tue,Home,W,4,0,Everton,,liverpool,23.0
2014-02-02,Premier League,Sun,Away,D,1,1,West Brom,,liverpool,24.0
2014-02-08,Premier League,Sat,Home,W,5,1,Arsenal,,liverpool,25.0
2014-02-12,Premier League,Wed,Away,W,3,2,Fulham,,liverpool,26.0
2014-02-23,Premier League,Sun,Home,W,4,3,Swansea City,,liverpool,27.0
2014-03-01,Premier League,Sat,Away,W,3,0,Southampton,,liverpool,28.0
2014-03-16,Premier League,Sun,Away,W,3,0,Manchester Utd,,liverpool,29.0
2014-03-22,Premier League,Sat,Away,W,6,3,Cardiff City,,liverpool,30.0
2014-03-26,Premier League,Wed,Home,W,2,1,Sunderland,,liverpool,31.0
2014-03-30,Premier League,Sun,Home,W,4,0,Tottenham,,liverpool,32.0
2014-04-06,Premier League,Sun,Away,W,2,1,West Ham,,liverpool,33.0
2014-04-13,Premier League,Sun,Home,W,3,2,Manchester City,,liverpool,34.0
2014-04-20,Premier League,Sun,Away,W,3,2,Norwich City,,liverpool,35.0
2014-04-27,Premier League,Sun,Home,L,0,2,Chelsea,,liverpool,36.0
2014-05-05,Premier League,Mon,Away,D,3,3,Crystal Palace,,liverpool,37.0
2014-05-11,Premier League,Sun,Home,W,2,1,Newcastle Utd,,liverpool,38.0
2013-08-19,Premier League,Mon,Away,L,0,4,Manchester City,,newcastle,1.0
2013-08-24,Premier League,Sat,Home,D,0,0,West Ham,,newcastle,2.0
2013-08-31,Premier League,Sat,Home,W,1,0,Fulham,,newcastle,3.0
2013-09-14,Premier League,Sat,Away,W,2,1,Aston Villa,,newcastle,4.0
2013-09-21,Premier League,Sat,Home,L,2,3,Hull City,,newcastle,5.0
2013-09-30,Premier League,Mon,Away,L,2,3,Everton,,newcastle,6.0
2013-10-05,Premier League,Sat,Away,W,2,1,Cardiff City,,newcastle,7.0
2013-10-19,Premier League,Sat,Home,D,2,2,Liverpool,,newcastle,8.0
2013-10-27,Premier League,Sun,Away,L,1,2,Sunderland,,newcastle,9.0
2013-11-02,Premier League,Sat,Home,W,2,0,Chelsea,,newcastle,10.0
2013-11-10,Premier League,Sun,Away,W,1,0,Tottenham,,newcastle,11.0
2013-11-23,Premier League,Sat,Home,W,2,1,Norwich City,,newcastle,12.0
2013-11-30,Premier League,Sat,Home,W,2,1,West Brom,,newcastle,13.0
2013-12-04,Premier League,Wed,Away,L,0,3,Swansea City,,newcastle,14.0
2013-12-07,Premier League,Sat,Away,W,1,0,Manchester Utd,,newcastle,15.0
2013-12-14,Premier League,Sat,Home,D,1,1,Southampton,,newcastle,16.0
2013-12-21,Premier League,Sat,Away,W,3,0,Crystal Palace,,newcastle,17.0
2013-12-26,Premier League,Thu,Home,W,5,1,Stoke City,,newcastle,18.0
2013-12-29,Premier League,Sun,Home,L,0,1,Arsenal,,newcastle,19.0
2014-01-01,Premier League,Wed,Away,L,0,1,West Brom,,newcastle,20.0
2014-01-12,Premier League,Sun,Home,L,0,2,Manchester City,,newcastle,21.0
2014-01-18,Premier League,Sat,Away,W,3,1,West Ham,,newcastle,22.0
2014-01-28,Premier League,Tue,Away,D,0,0,Norwich City,,newcastle,23.0
2014-02-01,Premier League,Sat,Home,L,0,3,Sunderland,,newcastle,24.0
2014-02-08,Premier League,Sat,Away,L,0,3,Chelsea,,newcastle,25.0
2014-02-12,Premier League,Wed,Home,L,0,4,Tottenham,,newcastle,26.0
2014-02-23,Premier League,Sun,Home,W,1,0,Aston Villa,,newcastle,27.0
2014-03-01,Premier League,Sat,Away,W,4,1,Hull City,,newcastle,28.0
2014-03-15,Premier League,Sat,Away,L,0,1,Fulham,,newcastle,29.0
2014-03-22,Premier League,Sat,Home,W,1,0,Crystal Palace,,newcastle,30.0
2014-03-25,Premier League,Tue,Home,L,0,3,Everton,,newcastle,31.0
2014-03-29,Premier League,Sat,Away,L,0,4,Southampton,,newcastle,32.0
2014-04-05,Premier League,Sat,Home,L,0,4,Manchester Utd,,newcastle,33.0
2014-04-12,Premier League,Sat,Away,L,0,1,Stoke City,,newcastle,34.0
2014-04-19,Premier League,Sat,Home,L,1,2,Swansea City,,newcastle,35.0
2014-04-28,Premier League,Mon,Away,L,0,3,Arsenal,,newcastle,36.0
2014-05-03,Premier League,Sat,Home,W,3,0,Cardiff City,,newcastle,37.0
2014-05-11,Premier League,Sun,Away,L,1,2,Liverpool,,newcastle,38.0
2013-08-17,Premier League,Sat,Home,D,2,2,Everton,,norwich,1.0
2013-08-24,Premier League,Sat,Away,L,0,1,Hull City,,norwich,2.0
2013-08-31,Premier League,Sat,Home,W,1,0,Southampton,,norwich,3.0
2013-09-14,Premier League,Sat,Away,L,0,2,Tottenham,,norwich,4.0
2013-09-21,Premier League,Sat,Home,L,0,1,Aston Villa,,norwich,5.0
2013-09-29,Premier League,Sun,Away,W,1,0,Stoke City,,norwich,6.0
2013-10-06,Premier League,Sun,Home,L,1,3,Chelsea,,norwich,7.0
2013-10-19,Premier League,Sat,Away,L,1,4,Arsenal,,norwich,8.0
2013-10-26,Premier League,Sat,Home,D,0,0,Cardiff City,,norwich,9.0
2013-11-02,Premier League,Sat,Away,L,0,7,Manchester City,,norwich,10.0
2013-11-09,Premier League,Sat,Home,W,3,1,West Ham,,norwich,11.0
2013-11-23,Premier League,Sat,Away,L,1,2,Newcastle Utd,,norwich,12.0
2013-11-30,Premier League,Sat,Home,W,1,0,Crystal Palace,,norwich,13.0
2013-12-04,Premier League,Wed,Away,L,1,5,Liverpool,,norwich,14.0
2013-12-07,Premier League,Sat,Away,W,2,0,West Brom,,norwich,15.0
2013-12-15,Premier League,Sun,Home,D,1,1,Swansea City,,norwich,16.0
2013-12-21,Premier League,Sat,Away,D,0,0,Sunderland,,norwich,17.0
2013-12-26,Premier League,Thu,Home,L,1,2,Fulham,,norwich,18.0
2013-12-28,Premier League,Sat,Home,L,0,1,Manchester Utd,,norwich,19.0
2014-01-01,Premier League,Wed,Away,D,1,1,Crystal Palace,,norwich,20.0
2014-01-11,Premier League,Sat,Away,L,0,2,Everton,,norwich,21.0
2014-01-18,Premier League,Sat,Home,W,1,0,Hull City,,norwich,22.0
2014-01-28,Premier League,Tue,Home,D,0,0,Newcastle Utd,,norwich,23.0
2014-02-01,Premier League,Sat,Away,L,1,2,Cardiff City,,norwich,24.0
2014-02-08,Premier League,Sat,Home,D,0,0,Manchester City,,norwich,25.0
2014-02-11,Premier League,Tue,Away,L,0,2,West Ham,,norwich,26.0
2014-02-23,Premier League,Sun,Home,W,1,0,Tottenham,,norwich,27.0
2014-03-02,Premier League,Sun,Away,L,1,4,Aston Villa,,norwich,28.0
2014-03-08,Premier League,Sat,Home,D,1,1,Stoke City,,norwich,29.0
2014-03-15,Premier League,Sat,Away,L,2,4,Southampton,,norwich,30.0
2014-03-22,Premier League,Sat,Home,W,2,0,Sunderland,,norwich,31.0
2014-03-29,Premier League,Sat,Away,L,0,3,Swansea City,,norwich,32.0
2014-04-05,Premier League,Sat,Home,L,0,1,West Brom,,norwich,33.0
2014-04-12,Premier League,Sat,Away,L,0,1,Fulham,,norwich,34.0
2014-04-20,Premier League,Sun,Home,L,2,3,Liverpool,,norwich,35.0
2014-04-26,Premier League,Sat,Away,L,0,4,Manchester Utd,,norwich,36.0
2014-05-04,Premier League,Sun,Away,D,0,0,Chelsea,,norwich,37.0
2014-05-11,Premier League,Sun,Home,L,0,2,Arsenal,,norwich,38.0
2013-08-18,Premier League,Sun,Home,L,0,1,Tottenham,,palace,1.0
2013-08-24,Premier League,Sat,Away,L,1,2,Stoke City,,palace,2.0
2013-08-31,Premier League,Sat,Home,W,3,1,Sunderland,,palace,3.0
2013-09-14,Premier League,Sat,Away,L,0,2,Manchester Utd,,palace,4.0
2013-09-22,Premier League,Sun,Home,L,0,2,Swansea City,,palace,5.0
2013-09-28,Premier League,Sat,Away,L,0,2,Southampton,,palace,6.0
2013-10-05,Premier League,Sat,Away,L,1,3,Liverpool,,palace,7.0
2013-10-21,Premier League,Mon,Home,L,1,4,Fulham,,palace,8.0
2013-10-26,Premier League,Sat,Home,L,0,2,Arsenal,,palace,9.0
2013-11-02,Premier League,Sat,Away,L,0,2,West Brom,,palace,10.0
2013-11-09,Premier League,Sat,Home,D,0,0,Everton,,palace,11.0
2013-11-23,Premier League,Sat,Away,W,1,0,Hull City,,palace,12.0
2013-11-30,Premier League,Sat,Away,L,0,1,Norwich City,,palace,13.0
2013-12-03,Premier League,Tue,Home,W,1,0,West Ham,,palace,14.0
2013-12-07,Premier League,Sat,Home,W,2,0,Cardiff City,,palace,15.0
2013-12-14,Premier League,Sat,Away,L,1,2,Chelsea,,palace,16.0
2013-12-21,Premier League,Sat,Home,L,0,3,Newcastle Utd,,palace,17.0
2013-12-26,Premier League,Thu,Away,W,1,0,Aston Villa,,palace,18.0
2013-12-28,Premier League,Sat,Away,L,0,1,Manchester City,,palace,19.0
2014-01-01,Premier League,Wed,Home,D,1,1,Norwich City,,palace,20.0
2014-01-11,Premier League,Sat,Away,L,0,2,Tottenham,,palace,21.0
2014-01-18,Premier League,Sat,Home,W,1,0,Stoke City,,palace,22.0
2014-01-28,Premier League,Tue,Home,W,1,0,Hull City,,palace,23.0
2014-02-02,Premier League,Sun,Away,L,0,2,Arsenal,,palace,24.0
2014-02-08,Premier League,Sat,Home,W,3,1,West Brom,,palace,25.0
2014-02-22,Premier League,Sat,Home,L,0,2,Manchester Utd,,palace,26.0
2014-03-02,Premier League,Sun,Away,D,1,1,Swansea City,,palace,27.0
2014-03-08,Premier League,Sat,Home,L,0,1,Southampton,,palace,28.0
2014-03-15,Premier League,Sat,Away,D,0,0,Sunderland,,palace,29.0
2014-03-22,Premier League,Sat,Away,L,0,1,Newcastle Utd,,palace,30.0
2014-03-29,Premier League,Sat,Home,W,1,0,Chelsea,,palace,31.0
2014-04-05,Premier League,Sat,Away,W,3,0,Cardiff City,,palace,32.0
2014-04-12,Premier League,Sat,Home,W,1,0,Aston Villa,,palace,33.0
2014-04-16,Premier League,Wed,Away,W,3,2,Everton,,palace,34.0
2014-04-19,Premier League,Sat,Away,W,1,0,West Ham,,palace,35.0
2014-04-27,Premier League,Sun,Home,L,0,2,Manchester City,,palace,36.0
2014-05-05,Premier League,Mon,Home,D,3,3,Liverpool,,palace,37.0
2014-05-11,Premier League,Sun,Away,D,2,2,Fulham,,palace,38.0
2013-08-17,Premier League,Sat,Away,W,1,0,West Brom,,southampton,1.0
2013-08-24,Premier League,Sat,Home,D,1,1,Sunderland,,southampton,2.0
2013-08-31,Premier League,Sat,Away,L,0,1,Norwich City,,southampton,3.0
2013-09-15,Premier League,Sun,Home,D,0,0,West Ham,,southampton,4.0
2013-09-21,Premier League,Sat,Away,W,1,0,Liverpool,,southampton,5.0
2013-09-28,Premier League,Sat,Home,W,2,0,Crystal Palace,,southampton,6.0
2013-10-06,Premier League,Sun,Home,W,2,0,Swansea City,,southampton,7.0
2013-10-19,Premier League,Sat,Away,D,1,1,Manchester Utd,,southampton,8.0
2013-10-26,Premier League,Sat,Home,W,2,0,Fulham,,southampton,9.0
2013-11-02,Premier League,Sat,Away,D,1,1,Stoke City,,southampton,10.0
2013-11-09,Premier League,Sat,Home,W,4,1,Hull City,,southampton,11.0
2013-11-23,Premier League,Sat,Away,L,0,2,Arsenal,,southampton,12.0
2013-12-01,Premier League,Sun,Away,L,1,3,Chelsea,,southampton,13.0
2013-12-04,Premier League,Wed,Home,L,2,3,Aston Villa,,southampton,14.0
2013-12-07,Premier League,Sat,Home,D,1,1,Manchester City,,southampton,15.0
2013-12-14,Premier League,Sat,Away,D,1,1,Newcastle Utd,,southampton,16.0
2013-12-22,Premier League,Sun,Home,L,2,3,Tottenham,,southampton,17.0
2013-12-26,Premier League,Thu,Away,W,3,0,Cardiff City,,southampton,18.0
2013-12-29,Premier League,Sun,Away,L,1,2,Everton,,southampton,19.0
2014-01-01,Premier League,Wed,Home,L,0,3,Chelsea,,southampton,20.0
2014-01-11,Premier League,Sat,Home,W,1,0,West Brom,,southampton,21.0
2014-01-18,Premier League,Sat,Away,D,2,2,Sunderland,,southampton,22.0
2014-01-28,Premier League,Tue,Home,D,2,2,Arsenal,,southampton,23.0
2014-02-01,Premier League,Sat,Away,W,3,0,Fulham,,southampton,24.0
2014-02-08,Premier League,Sat,Home,D,2,2,Stoke City,,southampton,25.0
2014-02-11,Premier League,Tue,Away,W,1,0,Hull City,,southampton,26.0
2014-02-22,Premier League,Sat,Away,L,1,3,West Ham,,southampton,27.0
2014-03-01,Premier League,Sat,Home,L,0,3,Liverpool,,southampton,28.0
2014-03-08,Premier League,Sat,Away,W,1,0,Crystal Palace,,southampton,29.0
2014-03-15,Premier League,Sat,Home,W,4,2,Norwich City,,southampton,30.0
2014-03-23,Premier League,Sun,Away,L,2,3,Tottenham,,southampton,31.0
2014-03-29,Premier League,Sat,Home,W,4,0,Newcastle Utd,,southampton,32.0
2014-04-05,Premier League,Sat,Away,L,1,4,Manchester City,,southampton,33.0
2014-04-12,Premier League,Sat,Home,L,0,1,Cardiff City,,southampton,34.0
2014-04-19,Premier League,Sat,Away,D,0,0,Aston Villa,,southampton,35.0
2014-04-26,Premier League,Sat,Home,W,2,0,Everton,,southampton,36.0
2014-05-03,Premier League,Sat,Away,W,1,0,Swansea City,,southampton,37.0
2014-05-11,Premier League,Sun,Home,D,1,1,Manchester Utd,,southampton,38.0
2013-08-17,Premier League,Sat,Away,L,0,1,Liverpool,,stoke,1.0
2013-08-24,Premier League,Sat,Home,W,2,1,Crystal Palace,,stoke,2.0
2013-08-31,Premier League,Sat,Away,W,1,0,West Ham,,stoke,3.0
2013-09-14,Premier League,Sat,Home,D,0,0,Manchester City,,stoke,4.0
2013-09-22,Premier League,Sun,Away,L,1,3,Arsenal,,stoke,5.0
2013-09-29,Premier League,Sun,Home,L,0,1,Norwich City,,stoke,6.0
2013-10-05,Premier League,Sat,Away,L,0,1,Fulham,,stoke,7.0
2013-10-19,Premier League,Sat,Home,D,0,0,West Brom,,stoke,8.0
2013-10-26,Premier League,Sat,Away,L,2,3,Manchester Utd,,stoke,9.0
2013-11-02,Premier League,Sat,Home,D,1,1,Southampton,,stoke,10.0
2013-11-10,Premier League,Sun,Away,D,3,3,Swansea City,,stoke,11.0
2013-11-23,Premier League,Sat,Home,W,2,0,Sunderland,,stoke,12.0
2013-11-30,Premier League,Sat,Away,L,0,4,Everton,,stoke,13.0
2013-12-04,Premier League,Wed,Home,D,0,0,Cardiff City,,stoke,14.0
2013-12-07,Premier League,Sat,Home,W,3,2,Chelsea,,stoke,15.0
2013-12-14,Premier League,Sat,Away,D,0,0,Hull City,,stoke,16.0
2013-12-21,Premier League,Sat,Home,W,2,1,Aston Villa,,stoke,17.0
2013-12-26,Premier League,Thu,Away,L,1,5,Newcastle Utd,,stoke,18.0
2013-12-29,Premier League,Sun,Away,L,0,3,Tottenham,,stoke,19.0
2014-01-01,Premier League,Wed,Home,D,1,1,Everton,,stoke,20.0
2014-01-12,Premier League,Sun,Home,L,3,5,Liverpool,,stoke,21.0
2014-01-18,Premier League,Sat,Away,L,0,1,Crystal Palace,,stoke,22.0
2014-01-29,Premier League,Wed,Away,L,0,1,Sunderland,,stoke,23.0
2014-02-01,Premier League,Sat,Home,W,2,1,Manchester Utd,,stoke,24.0
2014-02-08,Premier League,Sat,Away,D,2,2,Southampton,,stoke,25.0
2014-02-12,Premier League,Wed,Home,D,1,1,Swansea City,,stoke,26.0
2014-02-22,Premier League,Sat,Away,L,0,1,Manchester City,,stoke,27.0
2014-03-01,Premier League,Sat,Home,W,1,0,Arsenal,,stoke,28.0
2014-03-08,Premier League,Sat,Away,D,1,1,Norwich City,,stoke,29.0
2014-03-15,Premier League,Sat,Home,W,3,1,West Ham,,stoke,30.0
2014-03-23,Premier League,Sun,Away,W,4,1,Aston Villa,,stoke,31.0
2014-03-29,Premier League,Sat,Home,W,1,0,Hull City,,stoke,32.0
2014-04-05,Premier League,Sat,Away,L,0,3,Chelsea,,stoke,33.0
2014-04-12,Premier League,Sat,Home,W,1,0,Newcastle Utd,,stoke,34.0
2014-04-19,Premier League,Sat,Away,D,1,1,Cardiff City,,stoke,35.0
2014-04-26,Premier League,Sat,Home,L,0,1,Tottenham,,stoke,36.0
2014-05-03,Premier League,Sat,Home,W,4,1,Fulham,,stoke,37.0
2014-05-11,Premier League,Sun,Away,W,2,1,West Brom,,stoke,38.0
2013-08-17,Premier League,Sat,Home,L,0,1,Fulham,,sunderland,1.0
2013-08-24,Premier League,Sat,Away,D,1,1,Southampton,,sunderland,2.0
2013-08-31,Premier League,Sat,Away,L,1,3,Crystal Palace,,sunderland,3.0
2013-09-14,Premier League,Sat,Home,L,1,3,Arsenal,,sunderland,4.0
2013-09-21,Premier League,Sat,Away,L,0,3,West Brom,,sunderland,5.0
2013-09-29,Premier League,Sun,Home,L,1,3,Liverpool,,sunderland,6.0
2013-10-05,Premier League,Sat,Home,L,1,2,Manchester Utd,,sunderland,7.0
2013-10-19,Premier League,Sat,Away,L,0,4,Swansea City,,sunderland,8.0
2013-10-27,Premier League,Sun,Home,W,2,1,Newcastle Utd,,sunderland,9.0
2013-11-02,Premier League,Sat,Away,L,0,1,Hull City,,sunderland,10.0
2013-11-10,Premier League,Sun,Home,W,1,0,Manchester City,,sunderland,11.0
2013-11-23,Premier League,Sat,Away,L,0,2,Stoke City,,sunderland,12.0
2013-11-30,Premier League,Sat,Away,D,0,0,Aston Villa,,sunderland,13.0
2013-12-04,Premier League,Wed,Home,L,3,4,Chelsea,,sunderland,14.0
2013-12-07,Premier League,Sat,Home,L,1,2,Tottenham,,sunderland,15.0
2013-12-14,Premier League,Sat,Away,D,0,0,West Ham,,sunderland,16.0
2013-12-21,Premier League,Sat,Home,D,0,0,Norwich City,,sunderland,17.0
2013-12-26,Premier League,Thu,Away,W,1,0,Everton,,sunderland,18.0
2013-12-28,Premier League,Sat,Away,D,2,2,Cardiff City,,sunderland,19.0
2014-01-01,Premier League,Wed,Home,L,0,1,Aston Villa,,sunderland,20.0
2014-01-11,Premier League,Sat,Away,W,4,1,Fulham,,sunderland,21.0
2014-01-18,Premier League,Sat,Home,D,2,2,Southampton,,sunderland,22.0
2014-01-29,Premier League,Wed,Home,W,1,0,Stoke City,,sunderland,23.0
2014-02-01,Premier League,Sat,Away,W,3,0,Newcastle Utd,,sunderland,24.0
2014-02-08,Premier League,Sat,Home,L,0,2,Hull City,,sunderland,25.0
2014-02-22,Premier League,Sat,Away,L,1,4,Arsenal,,sunderland,26.0
2014-03-15,Premier League,Sat,Home,D,0,0,Crystal Palace,,sunderland,27.0
2014-03-22,Premier League,Sat,Away,L,0,2,Norwich City,,sunderland,28.0
2014-03-26,Premier League,Wed,Away,L,1,2,Liverpool,,sunderland,29.0
2014-03-31,Premier League,Mon,Home,L,1,2,West Ham,,sunderland,30.0
2014-04-07,Premier League,Mon,Away,L,1,5,Tottenham,,sunderland,31.0
2014-04-12,Premier League,Sat,Home,L,0,1,Everton,,sunderland,32.0
2014-04-16,Premier League,Wed,Away,D,2,2,Manchester City,,sunderland,33.0
2014-04-19,Premier League,Sat,Away,W,2,1,Chelsea,,sunderland,34.0
2014-04-27,Premier League,Sun,Home,W,4,0,Cardiff City,,sunderland,35.0
2014-05-03,Premier League,Sat,Away,W,1,0,Manchester Utd,,sunderland,36.0
2014-05-07,Premier League,Wed,Home,W,2,0,West Brom,,sunderland,37.0
2014-05-11,Premier League,Sun,Home,L,1,3,Swansea City,,sunderland,38.0
2013-08-01,Europa Lg,Thu,Home,W,4,0,se Malmö,,swansea,
2013-08-08,Europa Lg,Thu,Away,D,0,0,se Malmö,,swansea,
2013-08-17,Premier League,Sat,Home,L,1,4,Manchester Utd,,swansea,1.0
2013-08-22,Europa Lg,Thu,Home,W,5,1,ro Petrolul,,swansea,
2013-08-25,Premier League,Sun,Away,L,0,1,Tottenham,,swansea,2.0
2013-08-29,Europa Lg,Thu,Away,L,1,2,ro Petrolul,,swansea,
2013-09-01,Premier League,Sun,Away,W,2,0,West Brom,,swansea,3.0
2013-09-16,Premier League,Mon,Home,D,2,2,Liverpool,,swansea,4.0
2013-09-19,Europa Lg,Thu,Away,W,3,0,es Valencia,,swansea,
2013-09-22,Premier League,Sun,Away,W,2,0,Crystal Palace,,swansea,5.0
2013-09-28,Premier League,Sat,Home,L,1,2,Arsenal,,swansea,6.0
2013-10-03,Europa Lg,Thu,Home,W,1,0,ch St. Gallen,,swansea,
2013-10-06,Premier League,Sun,Away,L,0,2,Southampton,,swansea,7.0
2013-10-19,Premier League,Sat,Home,W,4,0,Sunderland,,swansea,8.0
2013-10-24,Europa Lg,Thu,Home,D,1,1,ru Kuban,,swansea,
2013-10-27,Premier League,Sun,Home,D,0,0,West Ham,,swansea,9.0
2013-11-03,Premier League,Sun,Away,L,0,1,Cardiff City,,swansea,10.0
2013-11-07,Europa Lg,Thu,Away,D,1,1,ru Kuban,,swansea,
2013-11-10,Premier League,Sun,Home,D,3,3,Stoke City,,swansea,11.0
2013-11-23,Premier League,Sat,Away,W,2,1,Fulham,,swansea,12.0
2013-11-28,Europa Lg,Thu,Home,L,0,1,es Valencia,,swansea,
2013-12-01,Premier League,Sun,Away,L,0,3,Manchester City,,swansea,13.0
2013-12-04,Premier League,Wed,Home,W,3,0,Newcastle Utd,,swansea,14.0
2013-12-09,Premier League,Mon,Home,D,1,1,Hull City,,swansea,15.0
2013-12-12,Europa Lg,Thu,Away,L,0,1,ch St. Gallen,,swansea,
2013-12-15,Premier League,Sun,Away,D,1,1,Norwich City,,swansea,16.0
2013-12-22,Premier League,Sun,Home,L,1,2,Everton,,swansea,17.0
2013-12-26,Premier League,Thu,Away,L,0,1,Chelsea,,swansea,18.0
2013-12-28,Premier League,Sat,Away,D,1,1,Aston Villa,,swansea,19.0
2014-01-01,Premier League,Wed,Home,L,2,3,Manchester City,,swansea,20.0
2014-01-11,Premier League,Sat,Away,L,0,2,Manchester Utd,,swansea,21.0
2014-01-19,Premier League,Sun,Home,L,1,3,Tottenham,,swansea,22.0
2014-01-28,Premier League,Tue,Home,W,2,0,Fulham,,swansea,23.0
2014-02-01,Premier League,Sat,Away,L,0,2,West Ham,,swansea,24.0
2014-02-08,Premier League,Sat,Home,W,3,0,Cardiff City,,swansea,25.0
2014-02-12,Premier League,Wed,Away,D,1,1,Stoke City,,swansea,26.0
2014-02-20,Europa Lg,Thu,Home,D,0,0,it Napoli,,swansea,
2014-02-23,Premier League,Sun,Away,L,3,4,Liverpool,,swansea,27.0
2014-02-27,Europa Lg,Thu,Away,L,1,3,it Napoli,,swansea,
2014-03-02,Premier League,Sun,Home,D,1,1,Crystal Palace,,swansea,28.0
2014-03-15,Premier League,Sat,Home,L,1,2,West Brom,,swansea,29.0
2014-03-22,Premier League,Sat,Away,L,2,3,Everton,,swansea,30.0
2014-03-25,Premier League,Tue,Away,D,2,2,Arsenal,,swansea,31.0
2014-03-29,Premier League,Sat,Home,W,3,0,Norwich City,,swansea,32.0
2014-04-05,Premier League,Sat,Away,L,0,1,Hull City,,swansea,33.0
2014-04-13,Premier League,Sun,Home,L,0,1,Chelsea,,swansea,34.0
2014-04-19,Premier League,Sat,Away,W,2,1,Newcastle Utd,,swansea,35.0
2014-04-26,Premier League,Sat,Home,W,4,1,Aston Villa,,swansea,36.0
2014-05-03,Premier League,Sat,Home,L,0,1,Southampton,,swansea,37.0
2014-05-11,Premier League,Sun,Away,W,3,1,Sunderland,,swansea,38.0
2013-08-18,Premier League,Sun,Away,W,1,0,Crystal Palace,,tottenham,1.0
2013-08-22,Europa Lg,Thu,Away,W,5,0,ge Dinamo Tbilisi,,tottenham,
2013-08-25,Premier League,Sun,Home,W,1,0,Swansea City,,tottenham,2.0
2013-08-29,Europa Lg,Thu,Home,W,3,0,ge Dinamo Tbilisi,,tottenham,
2013-09-01,Premier League,Sun,Away,L,0,1,Arsenal,,tottenham,3.0
2013-09-14,Premier League,Sat,Home,W,2,0,Norwich City,,tottenham,4.0
2013-09-19,Europa Lg,Thu,Home,W,3,0,no Tromsø,,tottenham,
2013-09-22,Premier League,Sun,Away,W,1,0,Cardiff City,,tottenham,5.0
2013-09-28,Premier League,Sat,Home,D,1,1,Chelsea,,tottenham,6.0
2013-10-03,Europa Lg,Thu,Away,W,2,0,ru Anzhi,,tottenham,
2013-10-06,Premier League,Sun,Home,L,0,3,West Ham,,tottenham,7.0
2013-10-20,Premier League,Sun,Away,W,2,0,Aston Villa,,tottenham,8.0
2013-10-24,Europa Lg,Thu,Away,W,2,0,md Sheriff Tiraspol,,tottenham,
2013-10-27,Premier League,Sun,Home,W,1,0,Hull City,,tottenham,9.0
2013-11-03,Premier League,Sun,Away,D,0,0,Everton,,tottenham,10.0
2013-11-07,Europa Lg,Thu,Home,W,2,1,md Sheriff Tiraspol,,tottenham,
2013-11-10,Premier League,Sun,Home,L,0,1,Newcastle Utd,,tottenham,11.0
2013-11-24,Premier League,Sun,Away,L,0,6,Manchester City,,tottenham,12.0
2013-11-28,Europa Lg,Thu,Away,W,2,0,no Tromsø,,tottenham,
2013-12-01,Premier League,Sun,Home,D,2,2,Manchester Utd,,tottenham,13.0
2013-12-04,Premier League,Wed,Away,W,2,1,Fulham,,tottenham,14.0
2013-12-07,Premier League,Sat,Away,W,2,1,Sunderland,,tottenham,15.0
2013-12-12,Europa Lg,Thu,Home,W,4,1,ru Anzhi,,tottenham,
2013-12-15,Premier League,Sun,Home,L,0,5,Liverpool,,tottenham,16.0
2013-12-22,Premier League,Sun,Away,W,3,2,Southampton,,tottenham,17.0
2013-12-26,Premier League,Thu,Home,D,1,1,West Brom,,tottenham,18.0
2013-12-29,Premier League,Sun,Home,W,3,0,Stoke City,,tottenham,19.0
2014-01-01,Premier League,Wed,Away,W,2,1,Manchester Utd,,tottenham,20.0
2014-01-11,Premier League,Sat,Home,W,2,0,Crystal Palace,,tottenham,21.0
2014-01-19,Premier League,Sun,Away,W,3,1,Swansea City,,tottenham,22.0
2014-01-29,Premier League,Wed,Home,L,1,5,Manchester City,,tottenham,23.0
2014-02-01,Premier League,Sat,Away,D,1,1,Hull City,,tottenham,24.0
2014-02-09,Premier League,Sun,Home,W,1,0,Everton,,tottenham,25.0
2014-02-12,Premier League,Wed,Away,W,4,0,Newcastle Utd,,tottenham,26.0
2014-02-20,Europa Lg,Thu,Away,L,0,1,ua Dnipro,,tottenham,
2014-02-23,Premier League,Sun,Away,L,0,1,Norwich City,,tottenham,27.0
2014-02-27,Europa Lg,Thu,Home,W,3,1,ua Dnipro,,tottenham,
2014-03-02,Premier League,Sun,Home,W,1,0,Cardiff City,,tottenham,28.0
2014-03-08,Premier League,Sat,Away,L,0,4,Chelsea,,tottenham,29.0
