Date,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,team
2012-09-22,Premier League,Matchweek 5,Sat,Away,W,2,1,Wigan Athletic,,fulham
2012-09-29,Premier League,Matchweek 6,Sat,Home,L,1,2,Manchester City,,fulham
2012-10-07,Premier League,Matchweek 7,Sun,Away,D,2,2,Southampton,,fulham
2012-10-20,Premier League,Matchweek 8,Sat,Home,W,1,0,Aston Villa,,fulham
2012-10-27,Premier League,Matchweek 9,Sat,Away,D,3,3,Reading,,fulham
2012-11-03,Premier League,Matchweek 10,Sat,Home,D,2,2,Everton,,fulham
2012-11-10,Premier League,Matchweek 11,Sat,Away,D,3,3,Arsenal,,fulham
2012-11-18,Premier League,Matchweek 12,Sun,Home,L,1,3,Sunderland,,fulham
2012-11-24,Premier League,Matchweek 13,Sat,Away,L,0,1,Stoke City,,fulham
2012-11-28,Premier League,Matchweek 14,Wed,Away,D,0,0,Chelsea,,fulham
2012-12-01,Premier League,Matchweek 15,Sat,Home,L,0,3,Tottenham,,fulham
2012-12-10,Premier League,Matchweek 16,Mon,Home,W,2,1,Newcastle Utd,,fulham
2012-12-15,Premier League,Matchweek 17,Sat,Away,L,1,2,QPR,,fulham
2012-12-22,Premier League,Matchweek 18,Sat,Away,L,0,4,Liverpool,,fulham
2012-12-26,Premier League,Matchweek 19,Wed,Home,D,1,1,Southampton,,fulham
2012-12-29,Premier League,Matchweek 20,Sat,Home,L,1,2,Swansea City,,fulham
2013-01-01,Premier League,Matchweek 21,Tue,Away,W,2,1,West Brom,,fulham
2013-01-12,Premier League,Matchweek 22,Sat,Home,D,1,1,Wigan Athletic,,fulham
2013-01-19,Premier League,Matchweek 23,Sat,Away,L,0,2,Manchester City,,fulham
2013-01-30,Premier League,Matchweek 24,Wed,Home,W,3,1,West Ham,,fulham
2013-02-02,Premier League,Matchweek 25,Sat,Home,L,0,1,Manchester Utd,,fulham
2013-02-09,Premier League,Matchweek 26,Sat,Away,D,0,0,Norwich City,,fulham
2013-02-23,Premier League,Matchweek 27,Sat,Home,W,1,0,Stoke City,,fulham
2013-03-02,Premier League,Matchweek 28,Sat,Away,D,2,2,Sunderland,,fulham
2013-03-17,Premier League,Matchweek 30,Sun,Away,W,1,0,Tottenham,,fulham
2013-04-01,Premier League,Matchweek 31,Mon,Home,W,3,2,QPR,,fulham
2013-04-07,Premier League,Matchweek 32,Sun,Away,L,0,1,Newcastle Utd,,fulham
2013-04-13,Premier League,Matchweek 33,Sat,Away,D,1,1,Aston Villa,,fulham
2013-04-17,Premier League,Matchweek 29,Wed,Home,L,0,3,Chelsea,,fulham
2013-04-20,Premier League,Matchweek 34,Sat,Home,L,0,1,Arsenal,,fulham
2013-04-27,Premier League,Matchweek 35,Sat,Away,L,0,1,Everton,,fulham
2013-05-04,Premier League,Matchweek 36,Sat,Home,L,2,4,Reading,,fulham
2013-05-12,Premier League,Matchweek 37,Sun,Home,L,1,3,Liverpool,,fulham
2013-05-19,Premier League,Matchweek 38,Sun,Away,W,3,0,Swansea City,,fulham
2012-08-02,Europa Lg,Third qualifying round,Thu,Away,W,1,0,by FC Gomel,,liverpool
2012-08-09,Europa Lg,Third qualifying round,Thu,Home,W,3,0,by FC Gomel,,liverpool
2012-08-18,Premier League,Matchweek 1,Sat,Away,L,0,3,West Brom,,liverpool
2012-08-23,Europa Lg,Play-off round,Thu,Away,W,1,0,sct Hearts,,liverpool
2012-08-26,Premier League,Matchweek 2,Sun,Home,D,2,2,Manchester City,,liverpool
2012-08-30,Europa Lg,Play-off round,Thu,Home,D,1,1,sct Hearts,,liverpool
2012-09-02,Premier League,Matchweek 3,Sun,Home,L,0,2,Arsenal,,liverpool
2012-09-15,Premier League,Matchweek 4,Sat,Away,D,1,1,Sunderland,,liverpool
2012-09-20,Europa Lg,Group stage,Thu,Away,W,5,3,ch Young Boys,,liverpool
2012-09-23,Premier League,Matchweek 5,Sun,Home,L,1,2,Manchester Utd,,liverpool
2012-09-29,Premier League,Matchweek 6,Sat,Away,W,5,2,Norwich City,,liverpool
2012-10-04,Europa Lg,Group stage,Thu,Home,L,2,3,it Udinese,,liverpool
2012-10-07,Premier League,Matchweek 7,Sun,Home,D,0,0,Stoke City,,liverpool
2012-10-20,Premier League,Matchweek 8,Sat,Home,W,1,0,Reading,,liverpool
2012-10-25,Europa Lg,Group stage,Thu,Home,W,1,0,ru Anzhi,,liverpool
2012-10-28,Premier League,Matchweek 9,Sun,Away,D,2,2,Everton,,liverpool
2012-11-04,Premier League,Matchweek 10,Sun,Home,D,1,1,Newcastle Utd,,liverpool
2012-11-08,Europa Lg,Group stage,Thu,Away,L,0,1,ru Anzhi,,liverpool
2012-11-11,Premier League,Matchweek 11,Sun,Away,D,1,1,Chelsea,,liverpool
2012-11-17,Premier League,Matchweek 12,Sat,Home,W,3,0,Wigan Athletic,,liverpool
2012-11-22,Europa Lg,Group stage,Thu,Home,D,2,2,ch Young Boys,,liverpool
2012-11-25,Premier League,Matchweek 13,Sun,Away,D,0,0,Swansea City,,liverpool
2012-11-28,Premier League,Matchweek 14,Wed,Away,L,1,2,Tottenham,,liverpool
2012-12-01,Premier League,Matchweek 15,Sat,Home,W,1,0,Southampton,,liverpool
2012-12-06,Europa Lg,Group stage,Thu,Away,W,1,0,it Udinese,,liverpool
2012-12-09,Premier League,Matchweek 16,Sun,Away,W,3,2,West Ham,,liverpool
2012-12-15,Premier League,Matchweek 17,Sat,Home,L,1,3,Aston Villa,,liverpool
2012-12-22,Premier League,Matchweek 18,Sat,Home,W,4,0,Fulham,,liverpool
2012-12-26,Premier League,Matchweek 19,Wed,Away,L,1,3,Stoke City,,liverpool
2012-12-30,Premier League,Matchweek 20,Sun,Away,W,3,0,QPR,,liverpool
