Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
1,4.600000000000001,2.3,0.5999999999999996,2.1,0.7,0.0,1.0,1.6,0.1999999999999999,-0.4,8.0,20.0,0.5,1.0,10.0,30.0,2.0,30.0,40.0,3.0,6,6,8,6.670000000000002,-13.78,7.0,Anfield,W
0,-3.8000000000000007,-3.0,-0.7999999999999998,-2.0,-0.2000000000000001,-0.2,-0.6,-0.1,0.2,-0.2999999999999998,-8.0,2.0,-0.3999999999999999,0.4,-20.0,10.0,-1.0,0.0,20.0,-3.0,1,1,0,0.6700000000000017,0.1899999999999999,3.2,Turf Moor,W
-5,1.8000000000000007,-1.0,0.7999999999999998,1.799999999999999,-0.1,0.1,1.2999999999999998,1.3000000000000005,-0.2000000000000001,-0.6000000000000001,15.0,19.0,1.7,1.6,60.0,60.0,2.0,50.0,40.0,2.0,5,5,5,5.0,-6.55,4.75,White Hart Lane,W
1,-4.799999999999999,-3.0,-2.7,2.500000000000001,0.9000000000000001,-0.1,-1.2,-0.3999999999999999,1.0,1.0000000000000002,-22.0,-14.0,-1.6,-1.0,-50.0,-30.0,-1.0,-60.0,-40.0,-1.0,0,0,-3,-1.0,1.0499999999999998,3.2,Turf Moor,W
0,6.0,2.7,2.3,0.6999999999999993,-0.1,-0.1,0.7000000000000001,1.0,-0.6000000000000001,-1.1,13.0,21.0,0.4,1.0,10.0,30.0,1.0,20.0,40.0,2.0,2,2,5,3.0,-5.0,4.33,Elland Road,W
-1,0.5999999999999996,0.6000000000000001,-2.7,1.4000000000000004,0.9000000000000001,-0.3,0.6,0.0999999999999999,0.3000000000000002,-1.1,3.0,12.0,0.0999999999999999,0.1999999999999999,0.0,0.0,0.0,10.0,20.0,-1.0,-4,-2,-6,-4.0,0.7000000000000002,3.5,Loftus Road,W
0,2.1,0.7999999999999998,-0.7000000000000002,4.6,0.2000000000000001,0.1,0.1999999999999999,0.4999999999999999,0.0,-1.0,2.0,15.0,0.3999999999999999,0.9,10.0,20.0,0.0,20.0,50.0,0.0,1,2,0,1.0,-0.5,3.3,Vicarage Road,W
-5,4.299999999999999,3.9,0.2999999999999998,2.1,0.1,-0.1,0.7,1.2,0.2999999999999998,0.1,4.0,11.0,0.1999999999999999,0.9,10.0,40.0,0.0,0.0,10.0,0.0,1,1,7,3.0,-2.97,3.7,St. James Park,W
0,6.5,2.2,2.1,-2.5,-0.6000000000000001,-0.3,-0.3999999999999999,0.6,-0.3,-0.5000000000000001,-1.0,11.0,0.3,0.7,10.0,30.0,1.0,10.0,10.0,3.0,3,5,4,4.0,-10.71,6.0,Emirates Stadium,W
-2,-0.5999999999999996,1.0999999999999996,1.0999999999999996,-2.0,-0.2000000000000001,0.1,0.3999999999999999,0.7,-0.1999999999999999,-1.4,6.0,21.0,0.3999999999999999,1.4,20.0,40.0,2.0,0.0,60.0,2.0,9,5,6,6.670000000000002,-11.71,6.0,Emirates Stadium,W
0,3.299999999999999,2.3,3.3999999999999995,-1.5999999999999996,0.1999999999999999,0.0,0.5,1.4,-0.1999999999999999,-0.8,7.0,22.0,0.6000000000000001,1.4,20.0,50.0,0.0,20.0,40.0,0.0,6,8,9,7.659999999999997,-15.82,8.5,Wembley Stadium,W
-1,-1.4000000000000004,-1.2999999999999998,-1.3000000000000005,0.3000000000000007,0.4000000000000001,0.0,0.7,1.2,-0.5999999999999999,-0.8999999999999999,13.0,21.0,1.0,1.1,40.0,30.0,1.0,20.0,50.0,0.0,0,3,1,1.3299999999999983,-3.75,3.7,The Hawthorns,W
-4,2.8000000000000007,1.8000000000000005,0.2000000000000001,0.6000000000000014,-0.5,-0.1,1.0,0.3999999999999999,0.1,-0.1999999999999999,9.0,6.0,1.2,0.2999999999999998,50.0,20.0,0.0,20.0,-10.0,0.0,5,7,3,5.0,-4.38,4.2,White Hart Lane,W
0,-0.9000000000000004,0.1999999999999997,-0.3999999999999994,-3.9,-0.6000000000000001,-0.2,0.3999999999999999,1.2000000000000002,-0.6000000000000001,-0.9999999999999998,10.0,22.0,0.7999999999999999,1.8,20.0,60.0,-1.0,40.0,60.0,-1.0,-1,1,-1,-0.3299999999999983,-2.75,3.8,London Stadium,W
-3,8.600000000000001,5.2,3.6000000000000005,-0.7999999999999989,-0.1999999999999999,0.2,2.7,2.1,-0.5,-0.4000000000000001,32.0,25.0,1.4999999999999998,1.1,60.0,40.0,6.0,30.0,30.0,10.0,5,10,10,8.329999999999998,-24.89,12.0,Etihad Stadium,W
1,3.6,2.3000000000000003,2.0,-2.1000000000000014,0.1999999999999999,0.0,1.4,1.2,0.8999999999999999,0.1999999999999999,5.0,10.0,0.3999999999999999,0.5,10.0,0.0,1.0,20.0,50.0,3.0,10,11,10,10.340000000000003,-13.75,5.5,Stamford Bridge,W
1,2.200000000000001,-1.1999999999999993,1.0,-0.5,-0.3,-0.2,-0.7000000000000002,0.5,0.0,-0.9,-7.0,14.0,0.1999999999999999,1.1,0.0,30.0,1.0,20.0,50.0,1.0,1,6,0,2.3299999999999983,-2.7,4.0,Stamford Bridge,W
-1,5.399999999999999,2.1000000000000005,3.2,1.299999999999999,0.5999999999999999,-0.2,0.6000000000000001,0.3999999999999999,-0.5,-0.3,11.0,7.0,0.4000000000000001,0.3,20.0,10.0,1.0,0.0,10.0,3.0,-1,1,-3,-1.0,-1.9,3.75,Villa Park,W
0,2.5,1.1000000000000003,1.0,-2.200000000000001,-0.7000000000000002,0.1,0.2000000000000001,1.0,0.3,-0.6000000000000001,-1.0,16.0,0.1999999999999999,1.2,10.0,40.0,5.0,0.0,40.0,3.0,13,11,10,11.340000000000003,-13.75,6.5,Emirates Stadium,W
6,1.8000000000000007,0.5,-1.0999999999999996,0.3000000000000007,0.9999999999999998,0.1,-0.0999999999999999,0.1999999999999999,0.5,0.0999999999999999,-6.0,1.0,-0.5,0.2000000000000001,-20.0,10.0,1.0,-10.0,0.0,-3.0,2,1,2,1.6700000000000017,0.9299999999999996,3.1,St. James Park,W
0,-1.6999999999999993,0.2000000000000001,-0.3000000000000007,1.0,0.5,0.0,0.1999999999999999,0.5,0.1999999999999999,-0.3,0.0,8.0,0.0,0.6,10.0,30.0,-1.0,-20.0,0.0,-4.0,0,-1,4,1.0,-2.92,3.7,St Mary's Stadium,W
0,2.1,0.7000000000000002,1.2999999999999998,0.8000000000000007,0.0999999999999998,-0.1,0.0999999999999998,1.8,-0.7,0.0,8.0,18.0,0.4000000000000001,0.6000000000000001,10.0,20.0,1.0,20.0,20.0,4.0,8,7,6,7.0,-13.82,7.5,Old Trafford,W
-1,0.1999999999999993,1.3000000000000005,0.6999999999999993,-1.3000000000000007,-0.6000000000000001,0.2,0.3999999999999999,0.1999999999999999,-0.6000000000000001,-1.2,10.0,14.0,0.8999999999999999,1.3000000000000005,30.0,40.0,0.0,30.0,50.0,8.0,-1,-1,-1,-1.0,-3.75,3.7,King Power Stadium,W
1,0.8000000000000007,-0.0999999999999996,0.1000000000000005,1.0999999999999996,0.4000000000000001,-0.1,-0.6,0.4,0.1999999999999999,0.5,-8.0,-1.0,-0.1999999999999999,-0.0999999999999998,-10.0,-20.0,2.0,0.0,30.0,1.0,-3,0,-2,-1.6700000000000017,0.08,3.3,St. James Park,W
