Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
L Mason,Sat,0.0,2,-7.7,-1.2999999999999998,-4.4,-1.0,-0.1,0.1,0.0,-0.4,1.7,1.5,-17.0,-19.0,-0.1,1.0,-0.1,0.7999999999999999,-11.0,-9.0,-0.7000000000000001,-0.7000000000000001,-20.0,-20.0,0.0,-30.0,-30.0,2.0,-3,-1,-4,-2.6700000000000017,7,1,2.25,3.3,The Hawthorns,W
C Kavanagh,Sat,0.0,0,1.0999999999999996,0.1999999999999997,-1.0,3.1999999999999997,-0.0999999999999998,0.0,-0.1999999999999999,-0.3,0.1999999999999999,-0.1999999999999999,-4.0,-1.0,0.1999999999999999,0.0,-0.4,0.0999999999999999,2.0,-5.0,0.0,0.4000000000000001,0.0,10.0,-1.0,0.0,20.0,-3.0,-2,-4,-5,-3.6599999999999966,10,1,0.08,3.2,Falmer Stadium,L
C Pawson,Sun,0.0,-2,-0.5999999999999996,-0.9000000000000004,-0.1999999999999993,3.8000000000000007,0.9000000000000001,-0.1,0.0,-0.6000000000000001,0.1999999999999999,-0.7,-2.0,1.0,-0.1999999999999999,0.0,-0.7,-0.6,-2.0,-1.0,-0.6000000000000001,0.0,-20.0,0.0,-2.0,-20.0,0.0,-3.0,-4,-1,2,-1.0,1,0,0.6200000000000001,3.25,Old Trafford,W
J Gillett,Wed,0.0,0,-3.0,-0.6999999999999997,-0.2000000000000001,-2.5,-1.5,0.0,0.0999999999999998,0.5999999999999999,-1.0000000000000002,-0.6999999999999997,11.0,13.0,0.0,-0.2,0.0,0.1,2.0,-1.0,0.5,0.4999999999999999,20.0,20.0,1.0,10.0,10.0,2.0,3,-1,1,1.0,2,0,-2.4000000000000004,3.8,Villa Park,D
M Atkinson,Wed,0.0,1,1.8000000000000007,0.1,1.9000000000000004,-3.1999999999999997,-0.2000000000000001,-0.1,-0.6000000000000001,0.8,0.1999999999999999,-0.9000000000000001,-8.0,17.0,-0.0999999999999999,0.0999999999999999,0.1999999999999999,-0.7999999999999999,-2.0,10.0,-0.6,1.2000000000000002,-20.0,50.0,0.0,-20.0,20.0,-3.0,-3,-6,4,-1.6700000000000017,14,1,-0.8599999999999999,3.29,St. James Park,L
J Moss,Sat,1.0,0,-6.9,-1.6999999999999995,-2.9000000000000004,1.0,0.5,0.1,-0.6,0.6000000000000001,1.1,0.1,-17.0,5.0,-0.2,0.2999999999999999,0.1,-0.1,-5.0,2.0,-1.1,0.1999999999999999,-30.0,10.0,-1.0,-50.0,0.0,-1.0,-7,-9,-8,-8.0,21,1,4.4,4.2,Carrow Road,D
G Scott,Tue,0.0,0,3.9,0.8000000000000003,1.2999999999999998,-0.5,-0.9,-0.2,0.3,0.4999999999999999,-1.2999999999999998,-0.7999999999999998,16.0,13.0,0.0,-0.8,0.2,-0.8,8.0,10.0,1.0,1.0,30.0,30.0,1.0,40.0,40.0,3.0,5,4,6,5.0,-6,-1,-3.93,4.2,London Stadium,W
K Friend,Sat,0.0,0,-2.0,0.1,1.4000000000000004,-1.0,-1.4,0.2,-0.3,0.0999999999999998,-0.1999999999999999,0.1999999999999999,-1.0,-1.0,-0.7000000000000001,-0.1999999999999999,-0.6,0.3,-5.0,-9.0,-0.4,-0.0999999999999998,-20.0,0.0,-1.0,0.0,-10.0,0.0,-2,-1,-5,-2.6700000000000017,2,0,-0.3999999999999999,3.25,Selhurst Park,D
M Oliver,Sat,0.0,-2,0.3999999999999986,-0.1,-0.4000000000000003,0.2999999999999989,0.5,-0.1,-0.3,0.7,0.3999999999999999,-0.2999999999999998,-7.0,10.0,-0.1999999999999999,0.5,0.4999999999999999,0.4,-7.0,1.0,-0.2,0.6000000000000001,0.0,20.0,0.0,-20.0,20.0,0.0,3,3,2,2.6599999999999966,-10,-1,-2.05,3.39,Bet365 Stadium,W
J Moss,Sat,0.0,0,-3.299999999999999,-2.7,-0.7000000000000002,1.1999999999999993,0.5,0.2,-0.6000000000000001,-0.5,0.0,-0.6000000000000001,-6.0,1.0,-0.2,-0.4,0.0,-0.5999999999999999,2.0,6.0,-0.7,-0.4,-20.0,-10.0,-1.0,-30.0,-20.0,-6.0,-10,-8,-7,-8.329999999999998,13,0,5.0,4.33,Selhurst Park,L
M Clattenburg,Sat,0.0,4,-6.200000000000001,-1.8999999999999997,-2.5,-2.9000000000000004,-0.3999999999999999,0.0,-0.7,-0.5999999999999999,2.2,1.2000000000000002,-29.0,-18.0,-0.4,0.4,-0.4,0.7,-8.0,-11.0,-1.8,-1.1,-60.0,-30.0,-1.0,-60.0,-50.0,-11.0,-6,-5,-4,-5.0,9,0,6.55,4.75,Craven Cottage,L
K Friend,Sat,0.0,4,-0.3999999999999986,-1.3000000000000005,-0.2000000000000001,-1.8000000000000007,-0.8999999999999999,0.0,-0.9000000000000001,-0.1999999999999999,-0.1,-0.2000000000000001,-8.0,0.0,-0.6,0.0999999999999999,0.0,0.2,-7.0,-2.0,-1.1,-0.5999999999999999,-40.0,-20.0,-1.0,-30.0,-20.0,2.0,-6,-6,-7,-6.329999999999998,11,0,0.27,3.3,The Hawthorns,L
N Swarbrick,Tue,0.0,-7,-4.0,0.1,-1.5,-2.6000000000000014,0.5,0.0,0.4000000000000001,0.4000000000000001,0.0,-0.0999999999999998,4.0,5.0,0.0999999999999999,-0.5,0.0999999999999999,0.0999999999999999,6.0,0.0,0.0,0.2999999999999999,0.0,10.0,0.0,0.0,10.0,5.0,2,2,-2,0.6700000000000017,-3,0,0.56,3.25,London Stadium,D
M Dean,Sun,0.0,0,-2.0,-0.7000000000000002,-2.1,3.6,1.4,0.1,-0.2999999999999998,-0.4000000000000001,1.0,0.1,-13.0,-5.0,0.1999999999999999,0.6000000000000001,0.0,-0.1,-4.0,1.0,-1.2000000000000002,-0.6000000000000001,-50.0,-30.0,-1.0,-20.0,0.0,-1.0,-6,-5,-7,-6.0,6,0,4.45,4.2,Goodison Park,D
M Dean,Tue,-3.0,-1,-2.9000000000000004,-1.7999999999999998,-1.3000000000000005,-0.4000000000000003,-0.1,0.0,-0.7000000000000001,-0.8999999999999999,0.2999999999999999,0.1,-10.0,-10.0,0.0999999999999999,0.6000000000000001,0.1999999999999999,0.0999999999999999,-5.0,1.0,-1.2000000000000002,-1.0,-50.0,-40.0,-2.0,-20.0,-20.0,-1.0,-4,-8,-5,-5.670000000000002,15,0,3.89,4.0,Turf Moor,D
M Dean,Sun,0.0,4,-2.700000000000001,-0.5,-1.2999999999999998,0.5,0.1999999999999999,0.0,-0.2000000000000001,0.5,1.0,0.3,-12.0,2.0,-0.3,0.4999999999999999,0.0999999999999999,0.0,-8.0,1.0,-0.7,0.3,-30.0,10.0,-3.0,-10.0,10.0,-9.0,-7,-9,-8,-8.0,7,0,4.95,4.5,Dean Court,L
R Madley,Sat,0.0,2,-8.8,-2.6,-3.7,4.6,0.7999999999999999,0.1,0.0,-0.0999999999999998,1.1,0.6000000000000001,-11.0,-7.0,-0.0999999999999999,0.5,-0.5,0.2,-6.0,-7.0,-0.8,-0.1,-30.0,0.0,0.0,-20.0,-10.0,3.0,-7,-4,-14,-8.340000000000003,6,0,4.34,3.89,Goodison Park,D
K Friend,Sun,0.0,0,6.1,2.0,3.5,-1.6999999999999993,-0.8,-0.1,-0.2999999999999998,0.0,0.0,-0.8,-3.0,8.0,-0.4,0.5,-0.1999999999999999,-0.0999999999999999,-9.0,-1.0,0.1999999999999999,0.9,10.0,30.0,0.0,0.0,30.0,2.0,4,4,8,5.340000000000003,-8,0,-6.5600000000000005,4.33,White Hart Lane,W
K Friend,Sun,0.0,0,0.5999999999999996,1.7000000000000002,0.5999999999999996,0.5,0.1999999999999999,0.1,0.1999999999999999,0.7999999999999999,0.7,0.0,-5.0,8.0,-0.4,0.1,-0.1999999999999999,-0.4,-5.0,2.0,-0.5999999999999999,0.7,-20.0,20.0,-1.0,-20.0,30.0,-1.0,3,2,2,2.3299999999999983,1,0,-1.1,3.4,St. James Park,D
P Tierney,Sun,0.0,-1,-9.2,-2.2,-1.5,2.8000000000000007,-0.1,-0.1,-0.7,-1.0000000000000002,0.0999999999999998,0.4000000000000001,-8.0,-14.0,-0.0999999999999999,0.0,-0.3,0.0,-1.0,-3.0,-0.7999999999999998,-0.8000000000000003,-40.0,-40.0,1.0,0.0,0.0,1.0,-5,-5,-1,-3.6700000000000017,4,0,4.5600000000000005,5.25,Emirates Stadium,L
G Scott,Wed,-1.0,0,-5.699999999999999,-4.3,-0.9000000000000004,-0.0999999999999996,-0.3999999999999999,0.0,-1.2000000000000002,-0.2999999999999999,-0.4999999999999999,-0.6000000000000001,-7.0,3.0,-0.5,0.0,0.0,-0.0999999999999999,-5.0,1.0,-0.8999999999999999,-0.4999999999999999,-40.0,-30.0,0.0,-10.0,10.0,0.0,-2,-4,-6,-4.0,10,0,2.85,3.8,Turf Moor,W
A Madley,Sat,2.0,0,0.200000000000001,0.9000000000000004,1.0,2.4000000000000004,-0.2999999999999998,0.1,0.5,0.5,-0.1999999999999999,-1.0,7.0,15.0,0.5,-0.3,0.7,-0.5,8.0,12.0,0.7,1.0,10.0,20.0,-1.0,50.0,60.0,2.0,-3,-1,-6,-3.3299999999999983,5,0,-1.4,3.5,St Mary's Stadium,W
M Oliver,Wed,0.0,0,4.9,2.1,1.9000000000000004,-2.6,-0.2999999999999998,0.1,1.5000000000000002,2.1,-0.8,-0.7,23.0,28.0,0.5,-0.4,0.7999999999999999,-0.0999999999999999,9.0,9.0,1.2999999999999998,2.0,40.0,70.0,2.0,50.0,60.0,3.0,9,11,11,10.340000000000003,-13,0,-19.86,9.5,Etihad Stadium,W
M Clattenburg,Mon,0.0,-1,-1.4000000000000004,-1.2999999999999998,-1.3000000000000005,0.3000000000000007,0.4000000000000001,0.0,0.7,1.2,-0.5999999999999999,-0.8999999999999999,13.0,21.0,0.4999999999999999,-0.0999999999999999,0.9,-0.3,6.0,12.0,1.0,1.1,40.0,30.0,1.0,20.0,50.0,0.0,0,3,1,1.3299999999999983,-9,-1,-3.75,3.7,The Hawthorns,W
C Pawson,Sun,0.0,2,-8.700000000000001,-3.4,-2.8,-3.5,-0.7,0.1,-1.3,-1.4,1.9,1.7999999999999998,-32.0,-32.0,-0.7,1.3,-0.1999999999999999,0.5,-20.0,-7.0,-1.4,-1.7999999999999998,-40.0,-60.0,0.0,-60.0,-60.0,-3.0,-8,-8,-11,-9.0,19,1,8.7,5.5,The Hawthorns,D
L Mason,Sat,0.0,4,-10.3,-2.2,-3.6,0.0999999999999996,0.3,0.1,-0.3999999999999999,0.1999999999999999,0.1,-0.3,-5.0,5.0,-0.3,-0.0999999999999999,-0.0999999999999999,-0.0999999999999999,-2.0,0.0,-0.2999999999999998,0.3,-10.0,10.0,0.0,-10.0,10.0,0.0,-7,-4,-3,-4.659999999999997,17,1,2.38,3.5,Carrow Road,L
P Tierney,Wed,0.0,0,-0.5,-0.3999999999999999,0.0,-1.0,-0.3,0.0,-0.7000000000000001,-0.3,0.1,-0.1999999999999999,-8.0,-1.0,-0.3,-0.1999999999999999,0.0999999999999999,-0.3,-1.0,4.0,0.0,0.1,0.0,10.0,2.0,0.0,-10.0,2.0,-1,-2,-6,-3.0,7,1,1.35,3.25,Carrow Road,D
A Taylor,Sun,0.0,-3,0.5,0.1,0.6999999999999997,-5.800000000000001,-1.0,0.0,0.0999999999999999,0.7000000000000001,0.3,-0.5,-2.0,12.0,-0.0999999999999999,0.7000000000000001,0.2,0.0,-8.0,2.0,0.0999999999999999,0.8999999999999999,10.0,40.0,0.0,-10.0,10.0,0.0,-2,-1,1,-0.6700000000000017,2,0,-2.3000000000000003,3.79,Swansea.com Stadium,L
A Marriner,Sat,1.0,-1,1.6000000000000014,0.1000000000000005,-0.2999999999999998,2.3999999999999986,-0.0999999999999999,-0.0999999999999999,0.7000000000000001,0.4000000000000001,-1.0,-0.7000000000000001,17.0,11.0,0.4,-0.4999999999999999,0.1,-0.1999999999999999,9.0,3.0,1.5,0.8000000000000003,50.0,30.0,-1.0,50.0,20.0,9.0,-2,-3,-5,-3.3400000000000034,3,0,-2.09,4.0,King Power Stadium,W
A Marriner,Sat,1.0,0,-1.9000000000000004,0.3000000000000002,0.2999999999999998,-1.9000000000000004,-0.1,-0.2,0.0,1.0,0.2999999999999998,0.0999999999999998,-3.0,9.0,-0.2999999999999999,0.2,0.2,0.0999999999999999,-5.0,1.0,-0.6,0.6,-20.0,20.0,0.0,-20.0,20.0,0.0,0,1,6,2.3299999999999983,-8,-1,-2.85,3.5,Selhurst Park,W
M Atkinson,Sat,-1.0,0,-1.9000000000000004,-0.8999999999999999,-0.5,2.0,1.8,0.1,-0.8999999999999999,-0.5999999999999999,0.1999999999999999,-0.2999999999999998,-11.0,-3.0,-0.6000000000000001,0.0999999999999999,0.3,-0.3,-7.0,6.0,-0.7,0.0,-30.0,0.0,0.0,-10.0,0.0,1.0,6,5,4,5.0,-7,-1,0.0499999999999998,3.3,Stadium of Light,D
M Clattenburg,Sat,0.0,1,-4.699999999999999,-2.0,-1.5,-2.9000000000000004,-0.8000000000000003,0.1,-0.2000000000000001,-0.1999999999999999,0.8,0.1999999999999999,-10.0,-4.0,0.5000000000000001,0.3999999999999999,0.1,0.2,1.0,-1.0,-0.8000000000000003,-0.5,-20.0,-20.0,2.0,-40.0,-10.0,-10.0,-4,-4,-6,-4.659999999999997,4,0,4.4,4.2,Bet365 Stadium,D
J Moss,Sat,0.0,-1,-3.1000000000000014,-2.0,-1.1,1.0,1.2000000000000002,0.0,-0.7999999999999999,-0.8,0.5000000000000001,-0.1,-13.0,-7.0,-0.3999999999999999,0.3,-0.1999999999999999,-0.2,-7.0,0.0,-1.1,-0.6000000000000001,-30.0,-20.0,0.0,-50.0,-20.0,-2.0,2,-2,1,0.3299999999999983,8,1,0.4500000000000002,3.4,Vicarage Road,L
K Friend,Sun,0.0,0,-0.5999999999999996,0.1000000000000005,-0.7000000000000002,1.0,0.5,0.1,-0.5,0.4000000000000001,0.6,0.2,-11.0,2.0,-0.4,0.4,0.2,-0.3,-8.0,5.0,-1.0,0.1999999999999997,-30.0,10.0,-1.0,-40.0,0.0,-4.0,-7,-10,-11,-9.329999999999998,11,1,7.6,5.0,Turf Moor,D
A Marriner,Sat,0.0,0,0.0999999999999996,0.5,1.7999999999999998,1.8999999999999984,-0.9,0.0999999999999999,-0.6000000000000001,-0.3999999999999999,-0.7000000000000001,-0.3999999999999999,1.0,0.0,-0.7000000000000001,-0.5,-0.3,-0.1999999999999999,-2.0,-1.0,-0.1999999999999999,-0.3999999999999999,-10.0,-20.0,0.0,0.0,0.0,0.0,-1,-2,-4,-2.3299999999999983,-1,0,0.6000000000000001,3.6,Falmer Stadium,D
J Moss,Sat,0.0,4,-10.400000000000002,-4.7,-3.3999999999999995,2.6000000000000014,0.5,0.0,-1.2999999999999998,-0.6000000000000001,1.0,0.3999999999999999,-23.0,-10.0,-0.7000000000000001,0.4999999999999999,-0.6000000000000001,0.3,-12.0,-9.0,-1.4,-0.3,-50.0,-20.0,0.0,-40.0,10.0,-7.0,-8,-9,-12,-9.670000000000002,21,1,4.89,3.89,Falmer Stadium,L
A Taylor,Sun,0.0,3,-7.100000000000001,-2.8,-1.7999999999999998,-1.0999999999999996,0.2,0.1,-1.9,-0.8999999999999999,0.7,0.8999999999999999,-26.0,-18.0,-0.9,0.0999999999999999,-0.5,0.3,-10.0,-8.0,-1.3,-0.9000000000000001,-40.0,-30.0,-4.0,-50.0,-30.0,-9.0,-8,-9,-4,-7.0,5,0,6.1,5.0,London Stadium,D
J Moss,Wed,0.0,0,6.4,4.4,0.9000000000000004,-0.7999999999999989,-0.0999999999999998,0.0,1.1,1.1,-0.8,-0.8,19.0,19.0,0.9,-0.4000000000000001,0.9000000000000001,-0.5,13.0,14.0,0.7999999999999999,1.0,20.0,30.0,-1.0,40.0,40.0,-1.0,5,4,6,5.0,-9,0,-7.64,4.75,Old Trafford,L
C Pawson,Tue,0.0,0,-1.5,-0.6999999999999993,-2.1,0.8999999999999986,-0.3,0.0,0.1999999999999999,0.9999999999999998,-0.3,0.3999999999999999,5.0,6.0,-0.5000000000000001,-0.3,0.4,-0.1999999999999999,-2.0,6.0,0.5999999999999999,0.5999999999999999,20.0,20.0,-1.0,20.0,20.0,-1.0,-7,-10,-9,-8.670000000000002,12,0,2.48,4.0,King Power Stadium,D
M Dean,Mon,0.0,1,-5.9,-2.2,-0.5,3.3000000000000007,1.4,0.1,-1.2999999999999998,-0.3,0.5,-0.8,-18.0,5.0,-0.8999999999999999,0.4,-0.2,-0.1999999999999999,-13.0,0.0,-1.1,0.4000000000000001,-40.0,10.0,0.0,-30.0,20.0,-1.0,1,-1,1,0.3400000000000034,3,0,2.25,3.6,Goodison Park,L
C Kavanagh,Sat,0.0,-2,-1.6000000000000014,-1.3000000000000005,-0.5999999999999996,1.4000000000000004,-1.1,0.0,-0.8,-0.9000000000000001,0.5,-1.1,-13.0,2.0,-0.4,0.7,-0.4,0.0,-11.0,-4.0,-0.5000000000000001,-0.1,-20.0,0.0,0.0,-10.0,-10.0,-1.0,-2,-3,-6,-3.6700000000000017,3,0,1.0499999999999998,3.25,Kirklees Stadium,D
A Taylor,Sun,-1.0,1,0.4000000000000003,-0.4000000000000003,-1.2000000000000002,-1.0,0.1,-0.1,-0.6000000000000001,-0.7,0.8999999999999999,0.2,-15.0,-9.0,-0.3,0.4,-0.4,0.3,-7.0,-7.0,-1.6,-1.0000000000000002,-70.0,-40.0,-4.0,-20.0,-20.0,-2.0,-1,-2,3,0.0,2,0,1.2999999999999998,3.4,Stadium of Light,L
C Pawson,Mon,0.0,1,-4.5,-1.3999999999999997,-0.3000000000000007,-0.8000000000000007,-0.5,0.0,-0.5,0.2,-0.5,-0.6000000000000001,0.0,8.0,-0.3999999999999999,-0.4,0.1,-0.5,0.0,6.0,0.0999999999999998,0.7,0.0,20.0,0.0,10.0,30.0,1.0,1,1,3,1.6700000000000017,-5,0,-0.3200000000000003,3.25,Selhurst Park,D
M Dean,Sun,0.0,3,-0.1999999999999993,-0.1,-0.9999999999999996,4.200000000000001,0.3000000000000002,0.1,-0.9,0.0,0.3999999999999999,0.5,-13.0,-5.0,-0.0999999999999999,-0.0999999999999999,0.1,0.2,0.0,-1.0,-1.3,-0.1999999999999999,-50.0,0.0,0.0,-30.0,-20.0,1.0,-2,-1,1,-0.6700000000000017,-3,0,-1.21,3.29,Bet365 Stadium,D
R Madley,Mon,0.0,1,-6.199999999999999,-1.6999999999999995,-4.199999999999999,0.5,-0.1,-0.2,-1.1,-1.3000000000000005,0.9000000000000001,0.0,-20.0,-13.0,-0.4999999999999999,0.2,-0.9000000000000001,-0.7000000000000001,-7.0,-2.0,-1.3,-1.0,-40.0,-40.0,-2.0,-50.0,-20.0,-2.0,-7,-10,-8,-8.329999999999998,19,1,8.7,5.5,Hull City Stadium,L
P Bankes,Sat,2.0,-4,1.0999999999999996,0.8999999999999999,-0.2000000000000001,1.3000000000000007,0.5,-0.1,0.3,0.2,1.4,0.8,-11.0,-6.0,0.0999999999999999,1.0,0.0999999999999999,0.7000000000000001,-9.0,-6.0,-0.5,-0.7,-10.0,-20.0,-2.0,-30.0,-30.0,-4.0,-4,-8,-3,-5.0,10,1,0.6000000000000001,2.8,Brentford Community Stadium,L
M Oliver,Sun,0.0,-4,-4.300000000000001,-2.2,-3.3,0.7000000000000011,0.1,-0.1,-0.5999999999999999,-0.7999999999999999,0.1,-0.0999999999999999,-7.0,-7.0,0.1,0.0,-0.3999999999999999,-0.2999999999999999,1.0,-1.0,-0.2000000000000001,-0.1999999999999999,-10.0,-10.0,-1.0,0.0,0.0,-1.0,-2,-2,-3,-2.3299999999999983,-2,0,0.1999999999999997,3.5,Anfield,D
D Coote,Tue,0.0,0,-6.899999999999999,-3.9,-2.1,-0.1999999999999993,0.1,0.0,-1.5,-0.7,0.0,-0.7000000000000001,-15.0,0.0,-0.5,0.1,-0.3999999999999999,-0.3999999999999999,-6.0,0.0,-0.6000000000000001,0.1999999999999999,-10.0,10.0,-1.0,-40.0,0.0,-1.0,-5,-7,-7,-6.340000000000003,9,0,7.1,4.5,Selhurst Park,L
P Tierney,Sun,0.0,-3,3.8000000000000007,3.1,0.0,1.200000000000001,0.0999999999999998,-0.2,1.2,1.6,-0.8,-0.9,20.0,25.0,0.5,-0.5,1.0,-0.4999999999999999,10.0,15.0,1.2,1.1,30.0,30.0,0.0,60.0,50.0,4.0,6,7,6,6.329999999999998,-10,0,-8.72,5.5,Old Trafford,W
A Marriner,Tue,0.0,7,-6.599999999999998,-0.5000000000000004,-1.9000000000000004,1.5,-0.1999999999999999,0.0,0.0999999999999998,0.0,-1.1,-0.5999999999999999,12.0,6.0,0.2999999999999999,-0.6000000000000001,-0.1999999999999999,-0.4,9.0,2.0,0.5,0.5,10.0,10.0,0.0,30.0,30.0,4.0,-5,-4,-3,-4.0,8,0,-0.25,3.4,King Power Stadium,W
M Atkinson,Wed,0.0,0,3.799999999999999,2.6999999999999997,1.2999999999999998,-1.8999999999999997,-0.9000000000000001,0.1,1.6999999999999995,1.4,-0.3999999999999999,-0.7999999999999999,21.0,22.0,0.5,-0.4,1.0,-0.6000000000000001,9.0,16.0,1.4,1.4,50.0,50.0,2.0,40.0,40.0,2.0,3,7,6,5.329999999999998,-5,0,-13.78,7.0,Anfield,D
J Moss,Sat,0.0,0,-8.1,-4.0,-2.3000000000000003,-3.799999999999999,-0.1,0.1,-1.1,-0.2000000000000001,0.5,0.4000000000000001,-16.0,-6.0,-0.5,-0.2,0.0,0.0,-3.0,0.0,-0.8000000000000003,-0.5,-20.0,-10.0,0.0,-40.0,-30.0,-11.0,-6,-1,-2,-3.0,8,0,2.9,3.6,The Hawthorns,D
S Attwell,Sat,0.0,-1,-5.799999999999999,-2.9000000000000004,-1.3999999999999997,2.1,0.6000000000000001,0.0,-1.6,-1.2000000000000002,1.5,0.6,-31.0,-18.0,-0.8,0.3,-0.7,0.1999999999999999,-11.0,-9.0,-1.9,-1.3,-60.0,-50.0,0.0,-70.0,-30.0,-2.0,-2,-6,-7,-5.0,6,0,6.0,4.5,The Hawthorns,D
C Pawson,Sun,0.0,1,-1.5,-1.2999999999999998,-0.7999999999999998,3.1,0.4000000000000001,0.0,-1.7000000000000002,-1.1,0.6000000000000001,0.7999999999999998,-23.0,-19.0,-1.2000000000000002,0.7,-0.8,0.7,-19.0,-15.0,-1.2000000000000002,-1.2,-50.0,-50.0,0.0,-20.0,-20.0,0.0,-12,-6,-12,-10.0,20,1,3.5,3.8,Craven Cottage,L
A Taylor,Sat,0.0,0,-4.499999999999998,-1.7999999999999998,-1.1999999999999993,2.200000000000001,0.3,0.0,-1.6,0.1,0.0,-0.5,-16.0,6.0,-0.8,0.1,0.0,0.0999999999999999,-9.0,-1.0,-0.4000000000000001,0.5,-20.0,10.0,-3.0,0.0,30.0,-3.0,-9,-10,-7,-8.670000000000002,12,0,3.5,3.8,St Mary's Stadium,D
K Friend,Sat,0.0,0,0.7999999999999989,1.1999999999999995,0.5,3.1000000000000014,1.2,-0.3,0.1999999999999999,-0.2,-0.8,-1.4,10.0,12.0,0.1999999999999999,0.0,-0.3,0.0,2.0,-3.0,0.3,0.6,0.0,10.0,-1.0,30.0,40.0,1.0,1,1,-1,0.3299999999999983,-4,0,-1.75,3.3,Bet365 Stadium,W
L Mason,Mon,0.0,-2,6.699999999999999,3.7,0.4000000000000003,-3.9,-0.4999999999999999,0.1,0.9,1.2,-0.5,-0.7,14.0,19.0,0.4,-0.6,0.3999999999999999,-0.2,10.0,6.0,1.1,1.8000000000000005,40.0,70.0,0.0,30.0,40.0,0.0,6,7,7,6.670000000000002,-9,0,-6.64,4.75,Stamford Bridge,W
M Dean,Sun,1.0,-1,-3.200000000000001,-1.0,-1.7999999999999998,1.0,0.6000000000000001,-0.2,-0.5,-0.2000000000000001,-0.1999999999999999,-0.2999999999999999,-3.0,1.0,0.0,0.3999999999999999,-0.1999999999999999,0.2,-4.0,-4.0,-0.5000000000000002,0.0,-20.0,-10.0,-2.0,-10.0,20.0,2.0,-5,-7,-4,-5.340000000000003,5,0,3.4,4.33,Old Trafford,W
L Probert,Sun,0.0,1,0.0999999999999996,-0.9000000000000004,0.9000000000000004,-1.299999999999999,0.5999999999999999,0.2,-0.8,0.1,0.3999999999999999,0.3,-12.0,-2.0,-0.5,0.2999999999999999,0.4,0.3,-8.0,1.0,-1.1,-0.1999999999999999,-40.0,0.0,0.0,-30.0,-20.0,-2.0,-9,-8,-13,-10.0,9,0,0.9500000000000002,3.75,Hull City Stadium,D
N Swarbrick,Tue,0.0,-6,0.0999999999999996,-0.2000000000000001,1.0,0.9000000000000004,-0.1,0.1,0.1999999999999999,0.3999999999999999,0.0,-0.1999999999999999,2.0,6.0,-0.3,0.1999999999999999,0.2,-0.0999999999999999,-5.0,3.0,0.0,0.7,-10.0,20.0,-2.0,20.0,30.0,-1.0,-3,-1,2,-0.6599999999999966,5,0,-0.4700000000000002,3.1,The Hawthorns,D
K Friend,Sat,0.0,-4,9.000000000000002,3.2,3.5,-0.9000000000000004,0.0,0.0,1.3000000000000005,1.9,-1.2000000000000002,-1.7999999999999998,25.0,37.0,0.4,-0.3,0.8,-0.2,7.0,10.0,1.5,1.9,50.0,60.0,0.0,50.0,70.0,8.0,9,10,10,9.659999999999997,-21,-1,-15.81,7.5,Wembley Stadium,W
C Pawson,Sat,0.0,1,-1.599999999999998,-0.5,0.7999999999999998,2.3999999999999986,0.9000000000000001,0.0,-1.1,-1.0000000000000002,-0.0999999999999999,-0.5000000000000001,-10.0,-5.0,-0.6000000000000001,0.3,-0.7,0.0999999999999999,-9.0,-8.0,-0.5,0.0999999999999996,-20.0,0.0,-1.0,-10.0,10.0,-3.0,2,3,2,2.3400000000000034,2,0,0.0,3.39,Old Trafford,W
C Kavanagh,Wed,0.0,-1,2.3999999999999986,-0.2000000000000001,0.2000000000000001,1.0,0.2,0.0,-0.1999999999999999,-0.2999999999999998,0.3999999999999999,-0.3999999999999999,-6.0,1.0,-0.6000000000000001,0.1999999999999999,-0.4,-0.1999999999999999,-8.0,-2.0,-0.8999999999999999,-0.1,-30.0,0.0,-3.0,-30.0,-10.0,-2.0,3,-2,0,0.3299999999999983,-4,0,-1.79,3.39,St Mary's Stadium,L
M Oliver,Tue,0.0,0,6.600000000000001,3.999999999999999,3.1,2.0,0.0,-0.1,0.7,1.5000000000000002,0.3,-0.0999999999999999,4.0,16.0,0.0999999999999999,0.0,0.1999999999999999,0.0,1.0,2.0,0.0,1.4,10.0,60.0,1.0,-20.0,20.0,-9.0,6,7,10,7.670000000000002,-13,0,-9.71,5.5,Etihad Stadium,W
A Taylor,Sat,0.0,-3,-1.4000000000000004,0.5,-2.4000000000000004,-0.3000000000000007,0.0,0.0,0.0,-0.8,-0.1999999999999999,-0.1999999999999999,2.0,-6.0,0.3,0.1999999999999999,0.2,-0.1,1.0,3.0,0.7,-0.0999999999999998,20.0,10.0,0.0,30.0,-30.0,2.0,-8,-3,-5,-5.329999999999998,4,0,1.4,3.4,King Power Stadium,W
